strategy,exit_ma,exit_slope,exit_dd,resume_ma,level_mult,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
V10_X110S50D18_R60L1p02,110,50,-0.18,60,1.02,0.3223818113227759,-0.7126457496284335,0.45237316224907337,2020.0422340506439,750,-0.22223753493752263,-0.3825580141011322,-0.2263368687214059,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.32513122628410673,-0.5614916416879034,443.34296424584824,-0.7126457496284335,0.45324881956053,-0.7126457496284335,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630211,0.6711748523590747,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.03508070629492766,0.32307300287009166,-0.7126457496284335,0.12555306918290335,0.2956017036687053,-0.7126457496284335
V10_X110S50D18_R60L0p98,110,50,-0.18,60,0.98,0.3223818113227759,-0.7126457496284335,0.45237316224907337,2020.0422340506439,750,-0.22223753493752263,-0.3825580141011322,-0.2263368687214059,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.32513122628410673,-0.5614916416879034,443.34296424584824,-0.7126457496284335,0.45324881956053,-0.7126457496284335,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630211,0.6711748523590747,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.03508070629492766,0.32307300287009166,-0.7126457496284335,0.12555306918290335,0.2956017036687053,-0.7126457496284335
V10_X110S50D18_R60L1p00,110,50,-0.18,60,1.0,0.3223818113227759,-0.7126457496284335,0.45237316224907337,2020.0422340506439,750,-0.22223753493752263,-0.3825580141011322,-0.2263368687214059,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.32513122628410673,-0.5614916416879034,443.34296424584824,-0.7126457496284335,0.45324881956053,-0.7126457496284335,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630211,0.6711748523590747,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.03508070629492766,0.32307300287009166,-0.7126457496284335,0.12555306918290335,0.2956017036687053,-0.7126457496284335
V10_X120S50D18_R60L0p98,120,50,-0.18,60,0.98,0.31778446041678166,-0.7126457496284335,0.4459220595681253,1837.2376925051885,979,-0.2517738759391892,-0.40045091868371596,-0.2685731292082003,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.32513122628410684,-0.5614916416879034,443.3429642458483,-0.7126457496284335,0.45324881956053,-0.7126457496284335,19,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0,0,0.02246692699404054,0.32307300287009166,-0.7126457496284335,0.11777219293310828,0.28166561109331245,-0.7126457496284335
V10_X120S50D18_R60L1p02,120,50,-0.18,60,1.02,0.31778446041678166,-0.7126457496284335,0.4459220595681253,1837.2376925051885,979,-0.2517738759391892,-0.40045091868371596,-0.2685731292082003,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.32513122628410684,-0.5614916416879034,443.3429642458483,-0.7126457496284335,0.45324881956053,-0.7126457496284335,19,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0,0,0.02246692699404054,0.32307300287009166,-0.7126457496284335,0.11777219293310828,0.28166561109331245,-0.7126457496284335
V10_X120S50D18_R60L1p00,120,50,-0.18,60,1.0,0.31778446041678166,-0.7126457496284335,0.4459220595681253,1837.2376925051885,979,-0.2517738759391892,-0.40045091868371596,-0.2685731292082003,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.32513122628410684,-0.5614916416879034,443.3429642458483,-0.7126457496284335,0.45324881956053,-0.7126457496284335,19,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0,0,0.02246692699404054,0.32307300287009166,-0.7126457496284335,0.11777219293310828,0.28166561109331245,-0.7126457496284335
V10_X120S50D15_R60L1p00,120,50,-0.15,60,1.0,0.2718013975247515,-0.6992207245312605,0.3887204540554203,698.2918545919513,2127,-0.2517738759391892,-0.40045091868371596,-0.25204744382094435,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.22964110929143622,-0.4994451875203354,305.88444650535314,-0.6992207245312605,0.4206408257287422,-0.6992207245312605,31,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630216,0.6711748523590751,2023-02-03,2023-02-28,1.0,1.0,0,-0.08704979814416174,0.2937850844222958,-0.6992207245312605,0.04997164990579091,0.2561584953535838,-0.6992207245312605
V10_X120S50D15_R60L0p98,120,50,-0.15,60,0.98,0.2718013975247515,-0.6992207245312605,0.3887204540554203,698.2918545919513,2127,-0.2517738759391892,-0.40045091868371596,-0.25204744382094435,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.22964110929143622,-0.4994451875203354,305.88444650535314,-0.6992207245312605,0.4206408257287422,-0.6992207245312605,31,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630216,0.6711748523590751,2023-02-03,2023-02-28,1.0,1.0,0,-0.08704979814416174,0.2937850844222958,-0.6992207245312605,0.04997164990579091,0.2561584953535838,-0.6992207245312605
V10_X120S50D15_R60L1p02,120,50,-0.15,60,1.02,0.2718013975247515,-0.6992207245312605,0.3887204540554203,698.2918545919513,2127,-0.2517738759391892,-0.40045091868371596,-0.25204744382094435,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.22964110929143622,-0.4994451875203354,305.88444650535314,-0.6992207245312605,0.4206408257287422,-0.6992207245312605,31,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630216,0.6711748523590751,2023-02-03,2023-02-28,1.0,1.0,0,-0.08704979814416174,0.2937850844222958,-0.6992207245312605,0.04997164990579091,0.2561584953535838,-0.6992207245312605
V10_X120S30D18_R60L0p98,120,30,-0.18,60,0.98,0.3032706408100785,-0.7126457496284333,0.42555595254472633,1358.8236200234708,979,-0.2517738759391892,-0.40045091868371596,-0.23664384083085088,-0.5396803053883231,0.6475388370201061,-0.6992207245312605,-0.20603495760967538,-0.49034666595960474,313.89063575982675,-0.7126457496284333,0.42288588323836596,-0.7126457496284333,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.743654581064796,0.3654729070307547,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.03324192738391238,0.3230730028700919,-0.7126457496284333,0.11777219293310828,0.29515139249497957,-0.7126457496284333
