strategy,exit_ma,exit_slope,exit_dd,resume_ma,level_mult,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V10_X80S20D10_R60L0p98,80,20,-0.1,60,0.98,0.17310495038016604,-0.7160125348157338,0.2417624580060106,77.35838284408462,1357,-0.44446180490893883,-0.48269317432993064,-0.323136131546124,-0.5906878312560919,-0.2036048896967516,-0.7160125348157338,-0.04953662310617868,-0.41786163736418147,52.26826293525298,-0.7160125348157338,0.27601342373476134,-0.7160125348157338,61,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.806035607820127,0.17631356459263398,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D10_R60L1p00,80,20,-0.1,60,1.0,0.17310495038016604,-0.7160125348157338,0.2417624580060106,77.35838284408462,1357,-0.44446180490893883,-0.48269317432993064,-0.323136131546124,-0.5906878312560919,-0.2036048896967516,-0.7160125348157338,-0.04953662310617868,-0.41786163736418147,52.26826293525298,-0.7160125348157338,0.27601342373476134,-0.7160125348157338,61,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.806035607820127,0.17631356459263398,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D10_R60L1p02,80,20,-0.1,60,1.02,0.17310495038016604,-0.7160125348157338,0.2417624580060106,77.35838284408462,1357,-0.44446180490893883,-0.48269317432993064,-0.323136131546124,-0.5906878312560919,-0.2036048896967516,-0.7160125348157338,-0.04953662310617868,-0.41786163736418147,52.26826293525298,-0.7160125348157338,0.27601342373476134,-0.7160125348157338,61,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.806035607820127,0.17631356459263398,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D10_R80L0p98,80,20,-0.1,80,0.98,0.17118031950006052,-0.7160125348157336,0.23907447310837082,73.97497881912896,1357,-0.44446180490893883,-0.48269317432993064,-0.3461098928702503,-0.6045804919668241,-0.2036048896967514,-0.7160125348157336,-0.04953662310617801,-0.41786163736418147,51.74184225321191,-0.7160125348157336,0.27523664742678244,-0.7160125348157336,60,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.774104628581953,0.17319631444206188,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D10_R80L1p00,80,20,-0.1,80,1.0,0.17118031950006052,-0.7160125348157336,0.23907447310837082,73.97497881912896,1357,-0.44446180490893883,-0.48269317432993064,-0.3461098928702503,-0.6045804919668241,-0.2036048896967514,-0.7160125348157336,-0.04953662310617801,-0.41786163736418147,51.74184225321191,-0.7160125348157336,0.27523664742678244,-0.7160125348157336,60,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.774104628581953,0.17319631444206188,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D10_R80L1p02,80,20,-0.1,80,1.02,0.17118031950006052,-0.7160125348157336,0.23907447310837082,73.97497881912896,1357,-0.44446180490893883,-0.48269317432993064,-0.3461098928702503,-0.6045804919668241,-0.2036048896967514,-0.7160125348157336,-0.04953662310617801,-0.41786163736418147,51.74184225321191,-0.7160125348157336,0.27523664742678244,-0.7160125348157336,60,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.774104628581953,0.17319631444206188,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V10_X80S20D10_R100L0p98,80,20,-0.1,100,0.98,0.17497462242665418,-0.7160125348157338,0.24437368609990046,80.78761841347963,1194,-0.44446180490893883,-0.48269317432993064,-0.3326120936174827,-0.596418121743044,-0.2036048896967516,-0.7160125348157338,-0.049536623106178235,-0.41786163736418136,44.8935366025726,-0.7160125348157338,0.2644080112244338,-0.7160125348157338,61,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.2701671554145095,0.22162423689716998,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D10_R100L1p00,80,20,-0.1,100,1.0,0.17497462242665418,-0.7160125348157338,0.24437368609990046,80.78761841347963,1194,-0.44446180490893883,-0.48269317432993064,-0.3326120936174827,-0.596418121743044,-0.2036048896967516,-0.7160125348157338,-0.049536623106178235,-0.41786163736418136,44.8935366025726,-0.7160125348157338,0.2644080112244338,-0.7160125348157338,61,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.2701671554145095,0.22162423689716998,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D10_R100L1p02,80,20,-0.1,100,1.02,0.17497462242665418,-0.7160125348157338,0.24437368609990046,80.78761841347963,1194,-0.44446180490893883,-0.48269317432993064,-0.3326120936174827,-0.596418121743044,-0.2036048896967516,-0.7160125348157338,-0.049536623106178235,-0.41786163736418136,44.8935366025726,-0.7160125348157338,0.2644080112244338,-0.7160125348157338,61,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.2701671554145095,0.22162423689716998,2023-02-03,2023-02-28,1.0,1.0,0
V10_X80S20D12_R60L0p98,80,20,-0.12,60,0.98,0.1683979595701257,-0.7160125348157339,0.23518856358214874,69.33459651210971,2271,-0.44446180490893883,-0.48269317432993064,-0.32313613154612386,-0.5906878312560919,-0.20360488969675183,-0.7160125348157339,-0.14395262729681357,-0.44376752538933273,67.76216494861453,-0.7160125348157339,0.29614535629970296,-0.7160125348157339,49,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.558029922799254,0.5426006350916077,2023-02-03,2023-02-28,1.0,1.0,0
