strategy,activate_mult,trail_dd,reenter_level,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V11_A2p0_T30_R0p980,2.0,-0.3,0.98,0.2623995186126413,-0.6441152095642289,0.4073797896965757,570.5153364908297,1263,-0.22223753493752263,-0.3825580141011322,-0.2525191061575083,-0.5643134086518344,0.7220462891117483,-0.3859334967682023,-0.09191707606389565,-0.40995647199094587,160.66310125750007,-0.6441152095642289,0.36589374440238176,-0.6441152095642289,41,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.269634592142297,0.31919687926408047,2023-02-03,2023-02-28,1.0,1.0,0
V11_A2p0_T30_R1p000,2.0,-0.3,1.0,0.24940572143427486,-0.6992207245312605,0.35669097422916063,430.4114844427091,1270,-0.22223753493752263,-0.3825580141011322,-0.25251910615750905,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.09191707606389488,-0.4099564719909453,128.96645036549592,-0.6992207245312605,0.3477386285954571,-0.6992207245312605,38,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.185093112385999,0.3109435482736909,2023-02-03,2023-02-28,1.0,1.0,0
V11_A2p0_T30_R1p020,2.0,-0.3,1.02,0.22970178275164566,-0.6992207245312605,0.3285111191543011,279.1580696803995,1354,-0.22223753493752263,-0.3825580141011322,-0.25251910615750817,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.09191707606389565,-0.409956471990946,92.37704236624376,-0.6992207245312605,0.32069231063330816,-0.6992207245312605,38,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.255185754195913,0.2201616830914721,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T35_R0p980,2.0,-0.35,0.98,0.27366969907103345,-0.6560573835705041,0.4171429297565754,726.776525533907,1270,-0.22223753493752263,-0.3825580141011322,-0.25251910615750917,-0.5643134086518344,0.7220462891117492,-0.3859334967682021,-0.07878298117396754,-0.4014223530445532,215.80797960795653,-0.6560573835705041,0.3906958499009432,-0.6560573835705041,35,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.857800677927697,0.47424101158212,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T35_R1p000,2.0,-0.35,1.0,0.25674193135955714,-0.6992207245312605,0.3671829543262899,504.8197020690127,1346,-0.22223753493752263,-0.3825580141011322,-0.2525191061575084,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.07878298117396654,-0.40142235304455254,159.47762622711744,-0.6992207245312605,0.36527750229907774,-0.6992207245312605,32,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.278101999936178,0.41764814050928023,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T35_R1p020,2.0,-0.35,1.02,0.24917641224489429,-0.6992207245312605,0.35636302458273916,428.2650827270865,1358,-0.22223753493752263,-0.3825580141011322,-0.2525191061575085,-0.5643134086518344,0.6475388370201065,-0.6992207245312605,-0.07878298117396698,-0.40142235304455276,149.8111261530937,-0.6992207245312605,0.3600868345031236,-0.6992207245312605,32,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,5.2807786702124915,0.41790944946443737,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T40_R0p980,2.0,-0.4,0.98,0.25332294296397184,-0.6131529637007183,0.4131480363970311,468.71853460678966,1354,-0.22223753493752263,-0.3825580141011322,-0.25251910615750806,-0.5643134086518344,0.58216075422362,-0.4813654401204438,-0.09675493555051007,-0.41786163736418136,156.85263950503509,-0.5655560287528163,0.3638976134799641,-0.5655560287528163,32,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753412,0.30814663408792103,2023-02-03,2023-02-28,1.0,1.0,0
V11_A2p0_T40_R1p000,2.0,-0.4,1.0,0.24205925428768493,-0.6992207245312605,0.34618432462789944,366.5438084506549,1367,-0.22223753493752263,-0.3825580141011322,-0.25251910615750917,-0.5643134086518344,0.6475388370201067,-0.6992207245312605,-0.09675493555050929,-0.41786163736418147,130.54351226212617,-0.6992207245312605,0.34873567584121457,-0.6992207245312605,29,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.0741432128658035,0.300112104978278,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T40_R1p020,2.0,-0.4,1.02,0.2318540470259587,-0.6992207245312605,0.3315892090890007,292.77578343999323,2099,-0.22223753493752263,-0.3825580141011322,-0.2525191061575084,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.09675493555050996,-0.41786163736418147,115.39148730930155,-0.6992207245312605,0.33865344572761247,-0.6992207245312605,29,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.974097130336441,0.29034514282210466,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V11_A2p0_T45_R0p980,2.0,-0.45,0.98,0.2788215242180849,-0.6238192692501172,0.4469588195844794,811.2413984556688,1357,-0.22223753493752263,-0.3825580141011322,-0.2525191061575086,-0.5643134086518344,0.5821607542236196,-0.4813654401204438,-0.20603495760967494,-0.49034666595960474,279.95227577285783,-0.5967733748327628,0.4129714996625917,-0.5967733748327628,26,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753412,0.30814663408792103,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
