date,reason,total_before,target_or_cap,fee
2000-08-28,REVERSAL_ENTRY,1.0788171226422656,0.35,1.8879299646239648e-05
2000-09-13,BULL_EXIT,1.0753051838369418,0.0,1.5758769446082845e-05
2001-12-24,REVERSAL_ENTRY,1.131603942805756,0.35,1.9803068999100734e-05
2002-02-05,BULL_EXIT,1.1239171983298752,0.0,1.496208997544471e-05
2002-11-15,REVERSAL_ENTRY,1.1385877548063685,0.35,1.992528570911145e-05
2002-12-12,BULL_FULL,1.1356951935634447,1.0,3.700726382790922e-05
2008-02-13,BULL_EXIT,1.4303453630164422,0.0,0.00012013455249520947
2009-04-01,REVERSAL_ENTRY,1.4459313274155736,0.35,2.5303798229772538e-05
2009-04-22,BULL_FULL,1.455633455445895,1.0,4.6960961099359506e-05
2012-03-14,HARVEST_CAP,2.2156569968894684,0.4,1.2253550587141949e-05
2012-03-15,HARVEST_CAP,2.2224258348364714,0.4,2.034668029370745e-06
2012-03-20,HARVEST_CAP,2.2447688564150186,0.4,6.697838584653781e-06
2012-03-27,HARVEST_CAP,2.287951732690173,0.4,1.2947789648295238e-05
2012-04-03,HARVEST_CAP,2.288924235686621,0.4,2.8910026220052564e-07
2012-09-07,HARVEST_CAP,2.3015996757812194,0.4,3.553402533191974e-06
2012-09-14,HARVEST_CAP,2.330802358431799,0.4,8.749292430235479e-06
2012-09-17,HARVEST_CAP,2.332534825302671,0.4,5.214786975245578e-07
2012-09-18,HARVEST_CAP,2.334273221136216,0.4,5.192803457885753e-07
2012-09-19,HARVEST_CAP,2.340484479553291,0.4,1.8608582695923138e-06
2013-05-03,HARVEST_CAP,2.397202697886075,0.4,1.6690353022948633e-05
2013-05-06,HARVEST_CAP,2.409553228702649,0.4,3.7122202206038014e-06
2013-05-09,HARVEST_CAP,2.4187923199943624,0.4,2.7707149854671044e-06
2013-05-10,HARVEST_CAP,2.4352414004819005,0.4,4.935101675540621e-06
2013-05-13,HARVEST_CAP,2.439038744055354,0.4,1.1406559423796647e-06
2013-05-14,HARVEST_CAP,2.453391308781696,0.4,4.3053234805183195e-06
2013-05-15,HARVEST_CAP,2.4606367687933464,0.4,2.174622387102865e-06
2013-05-20,HARVEST_CAP,2.4801481645478543,0.4,5.851811055144818e-06
2013-05-21,HARVEST_CAP,2.4838425429417987,0.4,1.1102060327017882e-06
2013-07-12,HARVEST_CAP,2.5229254861865043,0.4,1.1684985890621503e-05
2013-07-15,HARVEST_CAP,2.530771317822397,0.4,2.358690945872155e-06
2013-07-31,HARVEST_CAP,2.5407825911010065,0.4,2.9971196348528295e-06
2013-08-01,HARVEST_CAP,2.57174937276083,0.4,9.290625637214833e-06
2013-08-02,HARVEST_CAP,2.58889152382664,0.4,5.146219076770487e-06
2013-08-05,HARVEST_CAP,2.591119251121076,0.4,6.699666968372764e-07
2013-09-10,HARVEST_CAP,2.633748734388168,0.4,1.2764841597984633e-05
2013-09-18,HARVEST_CAP,2.6779729573339055,0.4,1.3271830776787842e-05
2013-09-19,HARVEST_CAP,2.684563698446561,0.4,1.9836988473528327e-06
2013-10-02,HARVEST_CAP,2.699019321588078,0.4,4.335409696476944e-06
2013-10-17,HARVEST_CAP,2.7418251197001844,0.4,1.2828066372434832e-05
