date,reason,target,fee
2000-08-28,REVERSAL_ENTRY,0.35,2.8318949469359467e-05
2000-09-13,BULL_EXIT,0.0,2.363815416912426e-05
2001-12-24,REVERSAL_ENTRY,0.35,2.9616543821227724e-05
2002-02-05,BULL_EXIT,0.0,2.2376602002196364e-05
2002-11-15,REVERSAL_ENTRY,0.35,2.966954065656046e-05
2002-12-12,BULL_FULL,1.0,5.5105283545727176e-05
2008-02-13,BULL_EXIT,0.0,0.00017888511319485935
2009-04-01,REVERSAL_ENTRY,0.35,3.909987770959556e-05
2009-04-22,BULL_FULL,1.0,7.256490979878228e-05
2013-07-12,RATCHET_60_TO_50,0.5,0.0001669637041921993
2015-05-28,RATCHET_75_TO_65,0.65,0.00031839730601432103
2018-12-21,BULL_EXIT,0.0,0.003499247824350776
2020-05-11,REVERSAL_ENTRY,0.35,0.00025018916351906764
2020-05-12,BULL_FULL,1.0,0.00046428171798951553
2022-03-08,BULL_EXIT,0.0,0.0016353776808412238
2023-02-03,REVERSAL_ENTRY,0.35,0.00030585088203092
2023-02-28,BULL_FULL,1.0,0.0005692454043209057
