date,reason,target,fee
2000-08-28,REVERSAL_ENTRY,0.35,4.719824911559912e-05
2000-09-13,BULL_EXIT,0.0,3.939692361520711e-05
2001-12-24,REVERSAL_ENTRY,0.35,4.906737411063481e-05
2002-02-05,BULL_EXIT,0.0,3.707256013375817e-05
2002-11-15,REVERSAL_ENTRY,0.35,4.872513366291336e-05
2002-12-12,BULL_FULL,1.0,9.049726577767535e-05
2003-10-17,RATCHET_40_TO_30,0.3,5.7934758400059324e-05
2008-02-13,BULL_EXIT,0.0,0.0002291788779700126
2009-04-01,REVERSAL_ENTRY,0.35,6.90619864542742e-05
2009-04-22,BULL_FULL,1.0,0.00012817116347014197
2009-09-11,RATCHET_40_TO_30,0.3,0.00010578553176993671
2012-09-20,RATCHET_60_TO_45,0.45,0.0002618947715146365
2017-02-14,RATCHET_80_TO_60,0.6,0.0009844703232414825
2018-12-21,BULL_EXIT,0.0,0.003570665274730304
2020-05-11,REVERSAL_ENTRY,0.35,0.0004993366486178419
2020-05-12,BULL_FULL,1.0,0.000926630369655279
2020-08-27,RATCHET_40_TO_30,0.3,0.00082120033297684
2022-03-08,BULL_EXIT,0.0,0.002372898300549881
2023-02-03,REVERSAL_ENTRY,0.35,0.0006699499550580451
2023-02-28,BULL_FULL,1.0,0.001246901530933742
2023-12-14,RATCHET_40_TO_30,0.3,0.0010488264516648235
