date,reason,target,fee
2000-08-28,REVERSAL_ENTRY,0.35,3.7758599292479235e-05
2000-09-13,BULL_EXIT,0.0,3.151753889216563e-05
2001-12-24,REVERSAL_ENTRY,0.35,3.207367232230546e-05
2002-02-05,BULL_EXIT,0.0,2.423307069985248e-05
2002-11-15,REVERSAL_ENTRY,0.35,2.5245257053616172e-05
2002-12-12,BULL_FULL,1.0,4.6888054797595276e-05
2008-02-13,BULL_EXIT,0.0,0.00015220999603412737
2009-04-01,REVERSAL_ENTRY,0.35,3.3233972156993875e-05
2009-04-22,BULL_FULL,1.0,6.167845868314991e-05
2014-01-23,RATCHET_60_TO_50,0.5,0.00022010685102047934
2017-12-18,RATCHET_75_TO_65,0.65,0.0007094392284502291
2018-12-21,BULL_EXIT,0.0,0.0029773597797118027
2020-05-11,REVERSAL_ENTRY,0.35,0.0004116426952919431
2020-05-12,BULL_FULL,1.0,0.0007638947070279979
2022-03-08,BULL_EXIT,0.0,0.00269072915426436
2023-02-03,REVERSAL_ENTRY,0.35,0.0005796907226897556
2023-02-28,BULL_FULL,1.0,0.0010789123040202573
