strategy,trend_ma,slope_lb,yellow_cap,red_dd,red_target,rec_fast_ma,rec_fast_days,rec_mid_ma,release_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,InvestedDayPct,AvgWeight,TradeCount,ActualEra_CAGR,ActualEra_MDD
V2_M150_S20_YC15_RD15_RT0_RF40x3_RM100_RL180,150,20,0.15,-0.15,0.0,40,3,100,180,0.04270935185166569,-0.4529409868420149,0.09429341369488967,3.123974495574447,3914,-0.42125160848843535,-0.4529409868420149,-0.09417900334031104,-0.31808952381212807,0.0018368852408512382,0.0,-0.09284171916749384,-0.19804259767925003,1.6550062192488713,-0.19804259767925003,0.27524810274372447,0.09294131900009636,305,0.06169751020461112,-0.19804259767925003
V2_M150_S20_YC15_RD15_RT0_RF40x3_RM100_RL200,150,20,0.15,-0.15,0.0,40,3,100,200,0.04226064885425629,-0.5772371184969441,0.07321193925348723,3.0875655624473515,6629,-0.5358306614121306,-0.5772371184969441,-0.09417900334031071,-0.3180895238121282,0.001836885240850572,0.0,0.02423420018288347,-0.20140250542199756,2.271806413535025,-0.20140250542199756,0.2708698190309399,0.09898341698793672,315,0.07538321846461193,-0.20140250542199756
V2_M150_S20_YC15_RD15_RT0_RF40x3_RM120_RL180,150,20,0.15,-0.15,0.0,40,3,120,180,0.04034673402692701,-0.527825568064149,0.07643952181949527,2.9368039710133496,5256,-0.4795646695412552,-0.527825568064149,-0.0645879185103786,-0.2885227890609078,0.0018368852408510161,0.0,-0.08264220328113936,-0.1784167086175381,1.687790754919305,-0.1784167086175381,0.2682428488032691,0.09272357509142463,301,0.06249670698394727,-0.1784167086175381
V2_M150_S20_YC15_RD15_RT0_RF40x3_RM120_RL200,150,20,0.15,-0.15,0.0,40,3,120,200,0.05173533675156183,-0.6026167289498063,0.08585114595428202,3.950570473726642,3589,-0.539989825022148,-0.6026167289498063,-0.0645879185103777,-0.28852278906090756,0.0018368852408514602,0.0,0.03966081011438338,-0.18937434944479137,2.3210850744102616,-0.18937434944479137,0.27466433158201986,0.10436050929839663,311,0.07636935503586395,-0.18937434944479137
V2_M150_S20_YC15_RD15_RT0_RF40x5_RM100_RL180,150,20,0.15,-0.15,0.0,40,5,100,180,0.040622219537664206,-0.4662336948604501,0.08712845078651592,2.958058890164425,3913,-0.4362058967349828,-0.4662336948604501,-0.09595256045142031,-0.3210903189527454,0.0018368852408516823,0.0,-0.10448527981771083,-0.19313203989275696,1.6227895717259795,-0.19313203989275696,0.2736427320490368,0.09227037393439917,275,0.06090308114015097,-0.19313203989275696
V2_M150_S20_YC15_RD15_RT0_RF40x5_RM100_RL200,150,20,0.15,-0.15,0.0,40,5,100,200,0.04032078424190044,-0.5875096181901891,0.06862999854556895,2.934809429944127,6586,-0.5478243398158369,-0.5875096181901891,-0.09595256045141975,-0.32109031895274587,0.0018368852408514602,0.0,0.011087946346221678,-0.20596643866668263,2.2445157459039877,-0.20596643866668263,0.2692644483362522,0.09838885502620545,285,0.0748310779770216,-0.20596643866668263
V2_M150_S20_YC15_RD15_RT0_RF40x5_RM120_RL180,150,20,0.15,-0.15,0.0,40,5,120,180,0.03859655935944506,-0.5365269429436503,0.07193778405178569,2.8051669014974094,5963,-0.4830580240534772,-0.5365269429436503,-0.09184721099764381,-0.31094681901301724,0.0018368852408512382,0.0,-0.07899619707433359,-0.17244768848526448,1.700389238392309,-0.17244768848526448,0.26663747810858146,0.09206724038068982,272,0.06280139159842779,-0.17244768848526448
V2_M150_S20_YC15_RD15_RT0_RF40x5_RM120_RL200,150,20,0.15,-0.15,0.0,40,5,120,200,0.05011375043968025,-0.6099398294363654,0.08216179370674888,3.787982308870731,5208,-0.5430775835319519,-0.6099398294363654,-0.09184721099764281,-0.3109468190130167,0.0018368852408514602,0.0,0.043792905334165244,-0.18028239027700244,2.3494638498213662,-0.18028239027700244,0.27305896088733217,0.10378055769162775,282,0.07693104027942876,-0.18028239027700244
V2_M150_S20_YC15_RD15_RT0_RF60x3_RM100_RL180,150,20,0.15,-0.15,0.0,60,3,100,180,0.041445896340496446,-0.4538574689456991,0.09131918978170471,3.0224967522009027,3913,-0.41370765062220294,-0.4538574689456991,-0.1149196156616672,-0.3221254520851117,0.0018368852408512382,0.0,-0.10793414015862535,-0.18775549920474177,1.611937350744507,-0.18775549920474177,0.2764156450671337,0.09320019821929494,251,0.060633413129736136,-0.18775549920474177
V2_M150_S20_YC15_RD15_RT0_RF60x3_RM100_RL200,150,20,0.15,-0.15,0.0,60,3,100,200,0.041186879854725245,-0.5761214784879836,0.07148992251220902,3.002089021689953,6589,-0.5277482024806155,-0.5761214784879836,-0.11491961566166764,-0.32212545208511256,0.0018368852408514602,0.0,0.007193983421052597,-0.1911585061217278,2.220780192861252,-0.1911585061217278,0.27218330414477526,0.09926779441125205,263,0.07434730783419963,-0.1911585061217278
