campaign_full_date,matched_start_date,exit_date,matched_age_td,policy,remaining_days,Return_to_exit,CAGR_to_exit,MDD_to_exit,late_entry_date,late_entry_qqq_drawdown
2002-12-12,2006-06-12,2008-02-13,879,IMM25,611,0.1196845656387866,0.06991268304345222,-0.2440945475894396,2006-06-13,-0.0040105302800999
2002-12-12,2006-06-12,2008-02-13,879,IMM50,611,0.1631824859797404,0.09456827998878081,-0.3940702901415305,2006-06-13,-0.0040105302800999
2002-12-12,2006-06-12,2008-02-13,879,IMM100,611,0.250091374297148,0.1427459033666274,-0.5643134086518344,2006-06-13,-0.0040105302800999
2002-12-12,2006-06-12,2008-02-13,879,PB5_50,611,0.19406071961936688,0.1118461902839416,-0.39977690852664194,2006-07-12,-0.053076869898284085
2002-12-12,2006-06-12,2008-02-13,879,PB5_100,611,0.3118169787741629,0.1761482362068787,-0.5643134086518344,2006-07-12,-0.053076869898284085
2002-12-12,2006-06-12,2008-02-13,879,PB10_50,611,-0.07411011754732688,-0.044985643157449795,-0.26352231030774365,2007-11-12,-0.11448329111687439
2002-12-12,2006-06-12,2008-02-13,879,PB10_100,611,-0.2242566587404664,-0.14083642845154087,-0.48176313922334835,2007-11-12,-0.11448329111687439
2002-12-12,2006-06-12,2008-02-13,879,PB15_50,611,0.006806841148835785,0.004063428969763416,-0.11644618814260288,2008-01-15,-0.15321649882951693
2002-12-12,2006-06-12,2008-02-13,879,PB15_100,611,-0.0625036178685775,-0.037847223845471234,-0.2343086899401564,2008-01-15,-0.15321649882951693
2002-12-12,2006-06-12,2008-02-13,879,WAIT_NEXT,611,0.07618664529783192,0.044868682102107815,0.0,,
2009-04-22,2012-10-15,2018-12-21,879,IMM25,2258,1.4365400032186715,0.1549481971380786,-0.45155567754161907,2012-10-16,0.0
2009-04-22,2012-10-15,2018-12-21,879,IMM50,2258,2.8404985894018013,0.2431614741712682,-0.5113813910908107,2012-10-16,0.0
2009-04-22,2012-10-15,2018-12-21,879,IMM100,2258,5.645609247852648,0.35846674433278225,-0.5475367824704787,2012-10-16,0.0
2009-04-22,2012-10-15,2018-12-21,879,PB5_50,2258,3.5217063127900445,0.27643395243583013,-0.5171935841597803,2012-11-07,-0.05798607494360386
2009-04-22,2012-10-15,2018-12-21,879,PB5_100,2258,7.007343827339389,0.4000503760624956,-0.5475367824704787,2012-11-07,-0.05798607494360386
2009-04-22,2012-10-15,2018-12-21,879,PB10_50,2258,0.5877042387282603,0.07764436304571976,-0.44889651886607607,2015-08-21,-0.10159700209891043
2009-04-22,2012-10-15,2018-12-21,879,PB10_100,2258,1.1422722150219804,0.13115100925886503,-0.5475367824704787,2015-08-21,-0.10159700209891043
2009-04-22,2012-10-15,2018-12-21,879,PB15_50,2258,0.8947090975354819,0.10890376491123122,-0.46769965961998683,2016-02-08,-0.15843107405641488
2009-04-22,2012-10-15,2018-12-21,879,PB15_100,2258,1.7559750812033328,0.17819363559096169,-0.5475367824704787,2016-02-08,-0.15843107405641488
2009-04-22,2012-10-15,2018-12-21,879,WAIT_NEXT,2258,0.03258141703554718,0.005199639481798579,0.0,,
