horizon_y,age_bucket,policy,n_month_starts,n_distinct_campaigns,CAGR_Median,CAGR_P10,MDD_Median,MDD_Worst,Final_Median,WinRate_vs_Wait,CAGR_Diff_vs_Wait_Median,CAGR_Diff_vs_Wait_P10,EntryRate
3,1009_plus,IMM100,82,2,0.2901671134330769,0.13640734835814244,-0.5475367824704787,-0.5643134086518345,2.144934636268323,0.5853658536585366,0.1794045801311469,-0.22210807514688036,1.0
3,1009_plus,IMM25,82,2,0.14288062264160728,0.0654220792023246,-0.24657043966996667,-0.430919275785555,1.4926957360682107,0.5853658536585366,0.05068197784870365,-0.048890249259695165,1.0
3,1009_plus,IMM50,82,2,0.24680724848103108,0.11177409601921169,-0.35375006727834124,-0.4552585205656623,1.9385171624689788,0.5853658536585366,0.09696425739945358,-0.1016036390688863,1.0
3,1009_plus,PB10_100,82,2,0.24127347418937506,-0.08001523822302929,-0.4496298463640214,-0.5637273396039282,1.9116782291589511,0.4024390243902439,-0.09530041745051154,-0.15535726783869785,0.9878048780487805
3,1009_plus,PB10_50,82,2,0.23617763729474206,-0.02994320342861163,-0.3388111145970093,-0.4644517489913911,1.889963996890128,0.4024390243902439,-0.045330901282657876,-0.07349728834702333,0.9878048780487805
3,1009_plus,PB15_100,82,2,0.30791441335483416,-0.051368358629591306,-0.22890013841670453,-0.4309192757855549,2.2361770992752237,0.4146341463414634,-0.061413273278336344,-0.09088009149018512,0.975609756097561
3,1009_plus,PB15_50,82,2,0.2841145908991455,-0.017074373155618994,-0.14723087963306442,-0.4309192757855549,2.1171104748368994,0.4146341463414634,-0.030016467280598147,-0.043932347519983136,0.975609756097561
3,1009_plus,PB5_100,82,2,0.3025436919843403,-0.10866374120810443,-0.4802009082847802,-0.5643134086518347,2.210357789263348,0.47560975609756095,-0.07363421116601587,-0.2268082749068838,1.0
3,1009_plus,PB5_50,82,2,0.257157695711807,-0.04195015652384958,-0.3286684378026883,-0.4644517489913911,1.9854906523189713,0.47560975609756095,-0.03590158926676579,-0.10348201195964579,1.0
3,1009_plus,WAIT_NEXT,82,2,0.015207520803849017,0.0012286699769291198,0.0,-0.430919275785555,1.0462460617790437,0.0,0.0,0.0,0.0
3,505_756,IMM100,26,2,0.24504385167865206,-0.010232666661761092,-0.46364188783531746,-0.5643134086518345,2.000232380854241,0.6538461538461539,0.2240876764312726,-0.049436166714582896,1.0
3,505_756,IMM25,26,2,0.09028119366756038,0.02637199206503449,-0.14523433058447377,-0.23925765188519976,1.2992487087359803,0.6538461538461539,0.0693250184201809,-0.011923016168996048,1.0
3,505_756,IMM50,26,2,0.1484723729744889,0.014740527421449823,-0.23838627702374432,-0.3899302736847944,1.5330657328914459,0.6538461538461539,0.12751619772710943,-0.024129126780668142,1.0
