start_date,full_date,age_td,age_bucket,horizon_y,policy,CAGR,MDD,Final,initial_entry_date,add_date,add_qqq_dd
2004-12-15,2002-12-12,505,505_756,3,IMM25,0.05500757692407943,-0.11349940573029216,1.1739693090866077,2004-12-16,,
2004-12-15,2002-12-12,505,505_756,3,IMM50,0.0683557030423052,-0.24460893958337382,1.2190227188060934,2004-12-16,,
2004-12-15,2002-12-12,505,505_756,3,IMM100,0.09407175601684692,-0.4881698347900857,1.3090394764565216,2004-12-16,,
2004-12-15,2002-12-12,505,505_756,3,L25_TO50_PB5_POST,0.09039557637905515,-0.26830651178653586,1.2959089226818685,2004-12-16,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,3,L25_TO100_PB5_POST,0.14772837966782704,-0.4881698347900857,1.510895189061915,2004-12-16,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,3,L50_TO100_PB5_POST,0.13039278524594167,-0.4881698347900856,1.4435650872243768,2004-12-16,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,3,L25_TO100_PB5_R63,0.12964884562127388,-0.4881698347900857,1.4407213103109149,2004-12-16,2005-01-13,-0.05052806676208421
2004-12-15,2002-12-12,505,505_756,3,L25_TO100_PB10_R63,0.22918153861928325,-0.4881698347900857,1.8553430706007268,2004-12-16,2005-04-15,-0.10278929173775964
2004-12-15,2002-12-12,505,505_756,3,WAIT_NEXT,0.04131369933772211,0.0,1.1289158993671207,,,
2004-12-15,2002-12-12,505,505_756,5,IMM25,0.21230919209724175,-0.19099267454029,2.6182935985454083,2004-12-16,,
2004-12-15,2002-12-12,505,505_756,5,IMM50,0.19566811167671827,-0.33761603966871345,2.4434760117904926,2004-12-16,,
2004-12-15,2002-12-12,505,505_756,5,IMM100,0.15933967962145323,-0.5643134086518345,2.0941902987239533,2004-12-16,,
2004-12-15,2002-12-12,505,505_756,5,L25_TO50_PB5_POST,0.20548976452751888,-0.3626237857649932,2.545484254141276,2004-12-16,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,5,L25_TO100_PB5_POST,0.19307698716110977,-0.5643134086518344,2.4171173629439733,2004-12-16,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,5,L50_TO100_PB5_POST,0.1822475273855284,-0.5643134086518344,2.3094032346718874,2004-12-16,2005-01-20,-0.06671680807513503
2004-12-15,2002-12-12,505,505_756,5,L25_TO100_PB5_R63,0.18178130772849466,-0.5643134086518344,2.304853784383324,2004-12-16,2005-01-13,-0.05052806676208421
2004-12-15,2002-12-12,505,505_756,5,L25_TO100_PB10_R63,0.24310702968437536,-0.5643134086518345,2.968162174737743,2004-12-16,2005-04-15,-0.10278929173775964
2004-12-15,2002-12-12,505,505_756,5,WAIT_NEXT,0.22808387059066404,-0.19099267454029012,2.793111185300325,,,
2005-01-03,2002-12-12,517,505_756,3,IMM25,0.05888379757011286,-0.12034281291512938,1.1871221696575125,2005-01-04,,
2005-01-03,2002-12-12,517,505_756,3,IMM50,0.07579558368327244,-0.25313948708038303,1.2448759336598558,2005-01-04,,
2005-01-03,2002-12-12,517,505_756,3,IMM100,0.10807992720626314,-0.4881698347900857,1.360268011861439,2005-01-04,,
2005-01-03,2002-12-12,517,505_756,3,L25_TO50_PB5_POST,0.08977583154436442,-0.26830505963495377,1.294008553858553,2005-01-04,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,3,L25_TO100_PB5_POST,0.14238680214927513,-0.4881698347900857,1.4904739070492738,2005-01-04,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,3,L50_TO100_PB5_POST,0.1311738400115856,-0.4881698347900857,1.4470430025200427,2005-01-04,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,3,L25_TO100_PB5_R63,0.12467739382896759,-0.4881698347900857,1.4222706848071947,2005-01-04,2005-01-13,-0.05052806676208421
2005-01-03,2002-12-12,517,505_756,3,L25_TO100_PB10_R63,0.2222645979693907,-0.4881698347900857,1.8252488380284198,2005-01-04,2005-04-15,-0.10278929173775964
2005-01-03,2002-12-12,517,505_756,3,WAIT_NEXT,0.04141440131150986,0.0,1.129368405655171,,,
2005-01-03,2002-12-12,517,505_756,5,IMM25,0.23996625613781908,-0.19350424925694054,2.925686206958025,2005-01-04,,
2005-01-03,2002-12-12,517,505_756,5,IMM50,0.22671625572687937,-0.3467020746269722,2.772937304606024,2005-01-04,,
2005-01-03,2002-12-12,517,505_756,5,IMM100,0.19839037801388804,-0.5643134086518344,2.4677448450341455,2005-01-04,,
2005-01-03,2002-12-12,517,505_756,5,L25_TO50_PB5_POST,0.23326033813542302,-0.3626222754244508,2.847560428803387,2005-01-04,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,5,L25_TO100_PB5_POST,0.22054074991704486,-0.5643134086518344,2.7039592703098956,2005-01-04,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,5,L50_TO100_PB5_POST,0.21333065233898618,-0.5643134086518344,2.625168627706663,2005-01-04,2005-01-20,-0.0544309391989638
2005-01-03,2002-12-12,517,505_756,5,L25_TO100_PB5_R63,0.20914028416704022,-0.5643134086518344,2.5802276610718833,2005-01-04,2005-01-13,-0.05052806676208421
2005-01-03,2002-12-12,517,505_756,5,L25_TO100_PB10_R63,0.27110913053052577,-0.5643134086518347,3.3112948122520542,2005-01-04,2005-04-15,-0.10278929173775964
2005-01-03,2002-12-12,517,505_756,5,WAIT_NEXT,0.2526741290809926,-0.19099267454029012,3.07843510931004,,,
2005-02-01,2002-12-12,537,505_756,3,IMM25,0.037214449446552944,-0.19274781642971728,1.1157684257061316,2005-02-02,,
2005-02-01,2002-12-12,537,505_756,3,IMM50,0.03287069155695743,-0.33492352661024016,1.1018180569003229,2005-02-02,,
2005-02-01,2002-12-12,537,505_756,3,IMM100,0.024080828476408023,-0.5236193833854152,1.073945206082924,2005-02-02,,
2005-02-01,2002-12-12,537,505_756,3,L25_TO50_PB5_POST,0.045727663984978184,-0.35140264039465197,1.1434498263691721,2005-02-02,2005-03-22,-0.05220368088647609
2005-02-01,2002-12-12,537,505_756,3,L25_TO100_PB5_POST,0.0608460023215156,-0.5236193833854152,1.1937295298688755,2005-02-02,2005-03-22,-0.05220368088647609
2005-02-01,2002-12-12,537,505_756,3,L50_TO100_PB5_POST,0.04886785012110084,-0.5236193833854152,1.1537747987644094,2005-02-02,2005-03-22,-0.05220368088647609
2005-02-01,2002-12-12,537,505_756,3,L25_TO100_PB5_R63,0.0332029786162098,-0.5236193833854152,1.1028810972347796,2005-02-02,2005-02-03,-0.07347301062208322
2005-02-01,2002-12-12,537,505_756,3,L25_TO100_PB10_R63,0.09766531767628783,-0.5236193833854152,1.322297624240494,2005-02-02,2005-04-15,-0.10278929173775964
2005-02-01,2002-12-12,537,505_756,3,WAIT_NEXT,0.04152216204167258,0.0,1.1297187945119405,,,
2005-02-01,2002-12-12,537,505_756,5,IMM25,0.20092911168995142,-0.23116218156572232,2.497701874300416,2005-02-02,,
2005-02-01,2002-12-12,537,505_756,5,IMM50,0.1941826736683523,-0.36090668172136653,2.428337175331216,2005-02-02,,
2005-02-01,2002-12-12,537,505_756,5,IMM100,0.18022783339132942,-0.5643134086518344,2.2897464374607384,2005-02-02,,
2005-02-01,2002-12-12,537,505_756,5,L25_TO50_PB5_POST,0.20254459098689992,-0.378670519544238,2.5145445985381074,2005-02-02,2005-03-22,-0.05220368088647609
2005-02-01,2002-12-12,537,505_756,5,L25_TO100_PB5_POST,0.20545689118863408,-0.5643134086518344,2.5451372405473425,2005-02-02,2005-03-22,-0.05220368088647609
2005-02-01,2002-12-12,537,505_756,5,L50_TO100_PB5_POST,0.19727623495672741,-0.5643134086518344,2.4599502098795143,2005-02-02,2005-03-22,-0.05220368088647609
2005-02-01,2002-12-12,537,505_756,5,L25_TO100_PB5_R63,0.18652101625736317,-0.5643134086518344,2.3514403239871915,2005-02-02,2005-02-03,-0.07347301062208322
2005-02-01,2002-12-12,537,505_756,5,L25_TO100_PB10_R63,0.23037464844887934,-0.5643134086518344,2.8192558216361014,2005-02-02,2005-04-15,-0.10278929173775964
2005-02-01,2002-12-12,537,505_756,5,WAIT_NEXT,0.20752729387855107,-0.23116218156572244,2.5670665732696123,,,
2005-03-01,2002-12-12,556,505_756,3,IMM25,0.03273175798288808,-0.20898251622249808,1.101373788329477,2005-03-02,,
2005-03-01,2002-12-12,556,505_756,3,IMM50,0.023898565715796405,-0.3622068971111655,1.0733722762664109,2005-03-02,,
2005-03-01,2002-12-12,556,505_756,3,IMM100,0.00577884217619129,-0.5643134086518344,1.0174252271768836,2005-03-02,,
2005-03-01,2002-12-12,556,505_756,3,L25_TO50_PB5_POST,0.035034736985523285,-0.378670301724894,1.1087534617264418,2005-03-02,2005-03-22,-0.05070956235713753
2005-03-01,2002-12-12,556,505_756,3,L25_TO100_PB5_POST,0.03921812111144973,-0.5643134086518344,1.122242873518847,2005-03-02,2005-03-22,-0.05070956235713753
2005-03-01,2002-12-12,556,505_756,3,L50_TO100_PB5_POST,0.02830487845783347,-0.5643134086518344,1.0872803613784459,2005-03-02,2005-03-22,-0.05070956235713753
2005-03-01,2002-12-12,556,505_756,3,L25_TO100_PB5_R63,0.012218617035653079,-0.5643134086518344,1.037080471920134,2005-03-02,2005-03-03,-0.06973248421584177
2005-03-01,2002-12-12,556,505_756,3,L25_TO100_PB10_R63,0.0752086174662705,-0.5643134086518344,1.2428407411721156,2005-03-02,2005-04-15,-0.10278929173775964
2005-03-01,2002-12-12,556,505_756,3,WAIT_NEXT,0.041416521976063825,0.0,1.1293753003925464,,,
2005-03-01,2002-12-12,556,505_756,5,IMM25,0.2345699565552004,-0.24310272735162097,2.867644270507491,2005-03-02,,
2005-03-01,2002-12-12,556,505_756,5,IMM50,0.22822680513619176,-0.3622068971111655,2.794736801232245,2005-03-02,,
