campaign_full_date,matched_start_date,exit_date,age_td,policy,remaining_days,Return_to_exit,CAGR_to_exit,MDD_to_exit,initial_entry_date,add_date,add_qqq_dd
1988-04-08,1990-04-06,1990-09-18,505,IMM25,165,-0.0689211313736634,-0.14621458347148464,-0.20213332947508056,1990-04-09,,
1988-04-08,1990-04-06,1990-09-18,505,IMM50,165,-0.17263707114804527,-0.34262566903702074,-0.37452437861942023,1990-04-09,,
1988-04-08,1990-04-06,1990-09-18,505,IMM100,165,-0.3798616224813667,-0.652740072193982,-0.6398368749356363,1990-04-09,,
1988-04-08,1990-04-06,1990-09-18,505,L25_TO50_PB5_POST,165,-0.159824352322829,-0.31987879196859426,-0.3907000941737795,1990-04-09,1990-04-23,-0.052068678160858806
1988-04-08,1990-04-06,1990-09-18,505,L25_TO100_PB5_POST,165,-0.3286272133685091,-0.5860303580073729,-0.6398368749356363,1990-04-09,1990-04-23,-0.052068678160858806
1988-04-08,1990-04-06,1990-09-18,505,L50_TO100_PB5_POST,165,-0.3457167370615961,-0.6089962939639737,-0.6398368749356362,1990-04-09,1990-04-23,-0.052068678160858806
1988-04-08,1990-04-06,1990-09-18,505,L25_TO100_PB5_R63,165,-0.35131807401237347,-0.61636758500332,-0.6398368749356363,1990-04-09,1990-04-20,-0.05116659958082925
1988-04-08,1990-04-06,1990-09-18,505,L25_TO100_PB10_R63,165,-0.3780460737827148,-0.6504856133020507,-0.5310553786509602,1990-04-09,1990-08-02,-0.11052884988470058
1988-04-08,1990-04-06,1990-09-18,505,WAIT_NEXT,165,0.03479480840071947,0.07865165271718277,0.0,,,
2002-12-12,2004-12-15,2008-02-13,505,IMM25,1155,0.06277540649841251,0.019439652694139387,-0.18486891704250052,2004-12-16,,
2002-12-12,2004-12-15,2008-02-13,505,IMM50,1155,-0.008183721969741153,-0.002595190258974922,-0.33761603966871345,2004-12-16,,
2002-12-12,2004-12-15,2008-02-13,505,IMM100,1155,-0.14996013157277777,-0.05008054847944643,-0.5643134086518345,2004-12-16,,
2002-12-12,2004-12-15,2008-02-13,505,L25_TO50_PB5_POST,1155,0.03322181455632567,0.010388496317565776,-0.3626237857649932,2004-12-16,2005-01-20,-0.06671680807513503
2002-12-12,2004-12-15,2008-02-13,505,L25_TO100_PB5_POST,1155,-0.018882798558466085,-0.006010218748644269,-0.5643134086518344,2004-12-16,2005-01-20,-0.06671680807513503
2002-12-12,2004-12-15,2008-02-13,505,L50_TO100_PB5_POST,1155,-0.06260437604832036,-0.020236486776243234,-0.5643134086518344,2004-12-16,2005-01-20,-0.06671680807513503
2002-12-12,2004-12-15,2008-02-13,505,L25_TO100_PB5_R63,1155,-0.06445101535663156,-0.020847249416055313,-0.5643134086518344,2004-12-16,2005-01-13,-0.05052806676208421
2002-12-12,2004-12-15,2008-02-13,505,L25_TO100_PB10_R63,1155,0.20478840247808416,0.06068443231015497,-0.5643134086518345,2004-12-16,2005-04-15,-0.10278929173775964
2002-12-12,2004-12-15,2008-02-13,505,WAIT_NEXT,1155,0.1337345349665653,0.04049017522020404,0.0,,,
2002-12-12,2005-12-13,2008-02-13,756,IMM25,792,0.028152249179626,0.012885751667477408,-0.183138531949242,2005-12-14,,
2002-12-12,2005-12-13,2008-02-13,756,IMM50,792,-0.04346132662030455,-0.020282900136105453,-0.335755758654525,2005-12-14,,
