policy,latest_date,current_full_date,current_age_td,initial_weight_if_adopted,add_target,early_exit_rule,early_exit_signal_today,qqq_dd63,qqq_vs_ma60,qqq_vs_ma80,qqq_vs_ma100,qqq_vs_ma110,ma110_slope20
HOLD25,2026-08-31,2023-02-28,879,0.25,,NONE,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
HOLD50,2026-08-31,2023-02-28,879,0.5,,NONE,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
HOLD100,2026-08-31,2023-02-28,879,1.0,,NONE,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I25_X60_3D,2026-08-31,2023-02-28,879,0.25,,MA60_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I25_X80_3D,2026-08-31,2023-02-28,879,0.25,,MA80_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I25_X100_3D,2026-08-31,2023-02-28,879,0.25,,MA100_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I25_X110NEG20,2026-08-31,2023-02-28,879,0.25,,MA110_NEG20,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I25_XDD63_10,2026-08-31,2023-02-28,879,0.25,,DD63_10,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I50_X60_3D,2026-08-31,2023-02-28,879,0.5,,MA60_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I50_X80_3D,2026-08-31,2023-02-28,879,0.5,,MA80_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I50_X100_3D,2026-08-31,2023-02-28,879,0.5,,MA100_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
I50_X110NEG20,2026-08-31,2023-02-28,879,0.5,,MA110_NEG20,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
L25_50_PB5_X60,2026-08-31,2023-02-28,879,0.25,0.5,MA60_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
L25_50_PB5_X80,2026-08-31,2023-02-28,879,0.25,0.5,MA80_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
L25_50_PB5_X100,2026-08-31,2023-02-28,879,0.25,0.5,MA100_3D,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
L25_50_PB5_X110NEG20,2026-08-31,2023-02-28,879,0.25,0.5,MA110_NEG20,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
WAIT_NEXT,2026-08-31,2023-02-28,879,0.0,,NONE,False,-0.04109878798131461,0.005519401543162328,0.0020576899022008988,0.01990526770940404,0.036059074351186826,0.03180586488737691
