policy,n_campaign_age,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate_vs_Wait,DiffCAGR_Median,DiffCAGR_Min
HOLD100,9,3,0.1427459033666274,-0.652740072193982,-0.5643134086518344,-0.6398368749356363,0.5555555555555556,0.09787722126451959,-0.7313917249111648
HOLD50,9,3,0.09456827998878081,-0.34262566903702074,-0.3940702901415305,-0.5197377081578636,0.5555555555555556,0.049699597886673,-0.4212773217542035
HOLD25,9,3,0.06991268304345222,-0.14621458347148464,-0.2440945475894396,-0.4717168058000085,0.5555555555555556,0.025044000941344402,-0.2248662361886674
I50_X110NEG20,9,3,0.05388289013431358,-0.07589797413163835,-0.18669797916276376,-0.31672480618327614,0.5555555555555556,0.009014208032205762,-0.11809535353139111
I25_X110NEG20,9,3,0.04938229878688083,-0.016555201243012574,-0.09017182524930711,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05875258064276534
L25_50_PB5_X110NEG20,9,3,0.04938229878688083,-0.04437245041490001,-0.14792964260961528,-0.3392750807077686,0.5555555555555556,0.004513616684773014,-0.08656982981465278
WAIT_NEXT,9,3,0.04049017522020404,0.0042863677505813325,0.0,0.0,0.0,0.0,0.0
I25_X100_3D,9,3,0.024862484840030286,0.00012038882109965954,-0.047650825314122014,-0.07318298685339841,0.3333333333333333,-0.004762547034742104,-0.03764009548529024
L25_50_PB5_X100,9,3,0.024012865759372115,-0.0017274728764559155,-0.047650825314122014,-0.11781650109484876,0.3333333333333333,-0.0049471686246542745,-0.03764009548529024
I25_X60_3D,9,3,0.018304174171723364,0.0002388006786961938,-0.03399355573423413,-0.06216684975298914,0.2222222222222222,-0.004960838803102385,-0.06034747854545941
L25_50_PB5_X60,9,3,0.01743518949394618,0.0002388006786961938,-0.03399355573423413,-0.0739844494952735,0.2222222222222222,-0.004960838803102385,-0.054215469075606704
I25_X80_3D,9,3,0.012646036991113885,-0.00012758958055958391,-0.04220618660345232,-0.07318298685339841,0.2222222222222222,-0.005327229062358163,-0.06600561572606889
L25_50_PB5_X80,9,3,0.012646036991113885,-0.00012758958055958391,-0.04220618660345232,-0.11781650109484876,0.2222222222222222,-0.005327229062358163,-0.06600561572606889
I25_XDD63_10,9,3,0.010086335356273457,-0.005555360567808809,-0.08959013169559915,-0.21035628590696398,0.3333333333333333,-0.008355832434023713,-0.05450944077981923
I50_X100_3D,9,3,0.008701808509718578,-0.0333189631203743,-0.09838390818796683,-0.13804376902601823,0.3333333333333333,-0.009657255556130728,-0.07551634252012707
I50_X60_3D,9,3,0.001945399095048428,-0.040143941993199816,-0.06737714995573374,-0.12491628471702554,0.2222222222222222,-0.010052556611792607,-0.11879559471038259
I50_X80_3D,9,3,-0.0005636032157957382,-0.0510817331220621,-0.08405702114531843,-0.1247251744508725,0.2222222222222222,-0.010805737493598366,-0.12973338583924487
