policy,form,exit_ma,slope_lb,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
I25_XMA100_S10,I25,100,10,2,0.0642262207390446,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03919205994709141,0.004513616684773014
I25_XMA100_S20,I25,100,20,2,0.06485551594693184,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.039821355154978644,0.004513616684773014
I25_XMA100_S30,I25,100,30,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014
I25_XMA100_S50,I25,100,50,2,0.06049433174168484,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03546017094973164,0.004513616684773014
I25_XMA110_S10,I25,110,10,2,0.06598693554257884,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.04095277475062564,0.004513616684773014
I25_XMA110_S20,I25,110,20,2,0.061240225534287984,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03620606474233479,0.004513616684773014
I25_XMA110_S30,I25,110,30,2,0.06734504841389188,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.042310887621938686,0.004513616684773014
I25_XMA110_S50,I25,110,50,2,0.061092970551392844,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03605880975943965,0.004513616684773014
I25_XMA120_S10,I25,120,10,2,0.025667599720673007,0.001952900654465184,-0.03143534531853143,-0.06287069063706285,0.5,0.0006334389287198094,-0.0032467388273333952
I25_XMA120_S20,I25,120,20,2,0.06272945334934843,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03769529255739523,0.004513616684773014
I25_XMA120_S30,I25,120,30,2,0.06657284179306266,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.04153868100110947,0.004513616684773014
I25_XMA120_S50,I25,120,50,2,0.06805786032138783,0.05470579970811751,-0.11584062714275123,-0.21932962036036407,1.0,0.043023699529434634,0.009837117606009693
I25_XMA130_S10,I25,130,10,2,0.024982295168600732,0.000582291550320635,-0.017078241943477068,-0.034156483886954137,0.5,-5.186562335246503e-05,-0.004617347931477944
I25_XMA130_S20,I25,130,20,2,0.022930278495195244,-0.003521741796490341,-0.026194174520999203,-0.052388349041998405,0.5,-0.002103882296757953,-0.00872138127828892
I25_XMA130_S30,I25,130,30,2,0.022025167181730088,-0.005331964423420654,-0.03148214400195809,-0.06296428800391618,0.5,-0.0030089936102231096,-0.010531603905219233
I25_XMA130_S50,I25,130,50,2,0.06669709265688073,0.046755210828660854,-0.1216005504553263,-0.21932962036036407,1.0,0.04166293186492753,0.0018865287265530384
I25_XMA90_S10,I25,90,10,2,0.023366604361999943,-0.0026490900628809433,-0.03143534531853143,-0.06287069063706285,0.5,-0.0016675564299532541,-0.007848729544679522
I25_XMA90_S20,I25,90,20,2,0.0263611056580636,0.0033399125292463694,-0.03143534531853143,-0.06287069063706285,0.5,0.0013269448661104022,-0.0018597269525522098
I25_XMA90_S30,I25,90,30,2,0.06540601135665325,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.04037185056470005,0.004513616684773014
I25_XMA90_S50,I25,90,50,2,0.06049433174168484,0.04938229878688083,-0.10966481018018204,-0.21932962036036407,1.0,0.03546017094973164,0.004513616684773014
I50_XMA100_S10,I50,100,10,2,0.09364773467167309,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06861357387971989,0.009014208032205762
I50_XMA100_S20,I50,100,20,2,0.0946220121566459,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.0695878513646927,0.009014208032205762
I50_XMA100_S30,I50,100,30,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762
I50_XMA100_S50,I50,100,50,2,0.08781087623481865,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06277671544286545,0.009014208032205762
I50_XMA110_S10,I50,110,10,2,0.09636674823491553,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07133258744296234,0.009014208032205762
I50_XMA110_S20,I50,110,20,2,0.08898581646023462,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06395165566828143,0.009014208032205762
I50_XMA110_S30,I50,110,30,2,0.09844957499093143,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07341541419897823,0.009014208032205762
I50_XMA110_S50,I50,110,50,2,0.08875419655042827,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06372003575847507,0.009014208032205762
I50_XMA120_S10,I50,120,10,2,0.026266798952768178,-0.0013492922287772213,-0.06294055712839208,-0.12582082872364253,0.5,0.0012326381608149806,-0.0065489317105758005
I50_XMA120_S20,I50,120,20,2,0.09131907516738702,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06628491437543382,0.009014208032205762
I50_XMA120_S30,I50,120,30,2,0.09726682191465796,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07223266112270477,0.009014208032205762
I50_XMA120_S50,I50,120,50,2,0.10075608877776199,0.06448156558812279,-0.1632640527709815,-0.3021272629437828,1.0,0.07572192798580879,0.019612883486014976
I50_XMA130_S10,I50,130,10,2,0.02486734977465438,-0.004148190585004818,-0.034206369067575515,-0.0683524526020094,0.5,-0.00016681101729881798,-0.009347830066803398
I50_XMA130_S20,I50,130,20,2,0.02061264053006806,-0.012657609074177456,-0.05244944508760979,-0.10483860464207795,0.5,-0.004421520261885137,-0.017857248555976035
I50_XMA130_S30,I50,130,30,2,0.01870381374455743,-0.01647526264519872,-0.06303415449524546,-0.1260080234573493,0.5,-0.006330347047395768,-0.021674902126997297
I50_XMA130_S50,I50,130,50,2,0.09684414778637696,0.04863945458063279,-0.1746564298225976,-0.3021272629437828,1.0,0.07180998699442376,0.003770772478524975
I50_XMA90_S10,I50,90,10,2,0.021525647257570335,-0.010831595619172907,-0.06294055712839208,-0.12582082872364253,0.5,-0.003508513534382862,-0.016031235100971486
I50_XMA90_S20,I50,90,20,2,0.027672519417727637,0.0014621487011416967,-0.06294055712839208,-0.12582082872364253,0.5,0.0026383586257744396,-0.0037374907806568824
I50_XMA90_S30,I50,90,30,2,0.09547202121250897,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.07043786042055578,0.009014208032205762
I50_XMA90_S50,I50,90,50,2,0.08781087623481865,0.05388289013431358,-0.1510937742384622,-0.3021272629437828,1.0,0.06277671544286545,0.009014208032205762
L25_50_PB3_XMA100_S10,L25_50_PB3,100,10,2,0.09613403626271977,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07109987547076657,0.004513616684773014
L25_50_PB3_XMA100_S20,L25_50_PB3,100,20,2,0.09713846231494871,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07210430152299552,0.004513616684773014
L25_50_PB3_XMA100_S30,L25_50_PB3,100,30,2,0.10108256608223531,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07604840529028212,0.004513616684773014
L25_50_PB3_XMA100_S50,L25_50_PB3,100,50,2,0.09011225005293777,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06507808926098457,0.004513616684773014
L25_50_PB3_XMA110_S10,L25_50_PB3,110,10,2,0.09893669327207699,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.0739025324801238,0.004513616684773014
L25_50_PB3_XMA110_S20,L25_50_PB3,110,20,2,0.09132502415909605,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06629086336714285,0.004513616684773014
L25_50_PB3_XMA110_S30,L25_50_PB3,110,30,2,0.10108256608223531,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07604840529028212,0.004513616684773014
L25_50_PB3_XMA110_S50,L25_50_PB3,110,50,2,0.09108597072973534,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06605180993778215,0.004513616684773014
L25_50_PB3_XMA120_S10,L25_50_PB3,120,10,2,0.025989765456706282,0.0025972321265317344,-0.05435731764770857,-0.10871463529541714,0.5,0.0009556046647530847,-0.0026024073552668447
L25_50_PB3_XMA120_S20,L25_50_PB3,120,20,2,0.09373249671052586,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.06869833591857266,0.004513616684773014
L25_50_PB3_XMA120_S30,L25_50_PB3,120,30,2,0.0998641192760581,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.0748299584841049,0.004513616684773014
L25_50_PB3_XMA120_S50,L25_50_PB3,120,50,2,0.10066062403574505,0.05470579970811751,-0.15992201992346733,-0.3074924059217963,1.0,0.07562646324379185,0.009837117606009693
L25_50_PB3_XMA130_S10,L25_50_PB3,130,10,2,0.02451320084740216,-0.000355897092076507,-0.023424169146837315,-0.04684833829367463,0.5,-0.000520959944551036,-0.005555536573875086
L25_50_PB3_XMA130_S20,L25_50_PB3,130,20,2,0.020017132216326616,-0.009348034354227597,-0.043063271856429886,-0.08612654371285977,0.5,-0.005017028575626581,-0.014547673836026176
L25_50_PB3_XMA130_S30,L25_50_PB3,130,30,2,0.01799650768624733,-0.013389283414386166,-0.05445807456430518,-0.10891614912861036,0.5,-0.0070376531057058656,-0.018588922896184745
L25_50_PB3_XMA130_S50,L25_50_PB3,130,50,2,0.10081575999454762,0.046755210828660854,-0.1656819432360424,-0.3074924059217963,1.0,0.07578159920259442,0.0018865287265530384
L25_50_PB3_XMA90_S10,L25_50_PB3,90,10,2,0.020982829533753133,-0.007416639719374563,-0.05435731764770857,-0.10871463529541714,0.5,-0.004051331258200064,-0.012616279201173142
L25_50_PB3_XMA90_S20,L25_50_PB3,90,20,2,0.027471855670853307,0.005561412554825784,-0.05435731764770857,-0.10871463529541714,1.0,0.0024376948789001096,0.00036177307302720507
