policy,form,exit_ma,slope_lb,n,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
I25_XMA100_S10,I25,100,10,9,3,0.02245202122204648,-0.01579415709266918,-0.07012305818675824,-0.21932962036036407,0.4444444444444444,-0.005247337185734113,-0.05799153649242195
I25_XMA100_S20,I25,100,20,9,3,0.04938229878688083,-0.01188340832341861,-0.07012305818675824,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.054080787723171375
I25_XMA100_S30,I25,100,30,9,3,0.04938229878688083,-0.02127819758218319,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06347557698193595
I25_XMA100_S50,I25,100,50,9,3,0.04938229878688083,-0.020224666293210847,-0.10347259046473722,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06242204569296361
I25_XMA110_S10,I25,110,10,9,3,0.04938229878688083,-0.002940440253943466,-0.08959013169559915,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.040920473758722986
I25_XMA110_S20,I25,110,20,9,3,0.04938229878688083,-0.016555201243012574,-0.09017182524930711,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05875258064276534
I25_XMA110_S30,I25,110,30,9,3,0.04938229878688083,-0.012401965083109312,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05459934448286208
I25_XMA110_S50,I25,110,50,9,3,0.04938229878688083,-0.009572726505385654,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05177010590513842
I25_XMA120_S10,I25,120,10,9,3,0.01582819710025829,-0.0012139696907809139,-0.06907570284106501,-0.21502279148807657,0.4444444444444444,-0.0032467388273333952,-0.02900391988946427
I25_XMA120_S20,I25,120,20,9,3,0.04938229878688083,-0.013784085545601732,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.0559814649453545
I25_XMA120_S30,I25,120,30,9,3,0.04938229878688083,-0.01188340832341861,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.054080787723171375
I25_XMA120_S50,I25,120,50,9,3,0.05470579970811751,-0.009572726505385654,-0.104711894054897,-0.22878770520725933,0.5555555555555556,0.008196406138721857,-0.05177010590513842
I25_XMA130_S10,I25,130,10,9,3,0.01148625533073977,-0.008510256071347477,-0.07556703411375709,-0.21502279148807657,0.3333333333333333,-0.004617347931477944,-0.03283878832428
I25_XMA130_S20,I25,130,20,9,3,0.010637599219062599,-0.0055919224718155025,-0.08120327056478949,-0.21502279148807657,0.3333333333333333,-0.008247061365707964,-0.04778930187156827
I25_XMA130_S30,I25,130,30,9,3,0.0008839502711286418,-0.012401965083109312,-0.09186785665828268,-0.21502279148807657,0.3333333333333333,-0.010531603905219233,-0.05459934448286208
I25_XMA130_S50,I25,130,50,9,3,0.046755210828660854,-0.009572726505385654,-0.11322494323442867,-0.22878770520725933,0.5555555555555556,0.0018865287265530384,-0.05177010590513842
