policy,form,exit_ma,slope_lb,campaigns_cur,CAGR_Median_cur,CAGR_Min_cur,MDD_Median_cur,MDD_Worst_cur,WinRate_cur,DiffCAGR_Median_cur,DiffCAGR_Min_cur,n,campaigns_all,CAGR_Median_all,CAGR_Min_all,MDD_Median_all,MDD_Worst_all,WinRate_all,DiffCAGR_Median_all,DiffCAGR_Min_all
L25_50_PB75_XMA100_S30,L25_50_PB75,100,30,2,0.11122391372102158,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08618975292906839,0.004513616684773014,9,3,0.04938229878688083,-0.07402066942858232,-0.22594073173464913,-0.334585309660529,0.5555555555555556,0.004513616684773014,-0.11621804882833509
L25_50_PB75_XMA110_S30,L25_50_PB75,110,30,2,0.11122391372102158,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08618975292906839,0.004513616684773014,9,3,0.04938229878688083,-0.055029243110184534,-0.22594073173464913,-0.32635212988377194,0.5555555555555556,0.004513616684773014,-0.0972266225099373
L25_50_PB75_XMA130_S50,L25_50_PB75,130,50,2,0.11101400510683224,0.046755210828660854,-0.17029983259994363,-0.31672818464959873,1.0,0.08597984431487904,0.0018865287265530384,9,3,0.046755210828660854,-0.04898327075985842,-0.24153858912523574,-0.35166705249394403,0.5555555555555556,0.0018865287265530384,-0.09118065015961119
L25_50_PB75_XMA120_S50,L25_50_PB75,120,50,2,0.1106321397044826,0.05470579970811751,-0.16453990928736856,-0.31672818464959873,1.0,0.0855979789125294,0.009837117606009693,9,3,0.05470579970811751,-0.04898327075985842,-0.22882229061169534,-0.35166705249394403,0.5555555555555556,0.008196406138721857,-0.09118065015961119
L25_50_PB75_XMA120_S30,L25_50_PB75,120,30,2,0.10993876051539297,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08490459972343978,0.004513616684773014,9,3,0.04938229878688083,-0.053920842519234125,-0.22594073173464913,-0.32635212988377194,0.5555555555555556,0.004513616684773014,-0.09611822191898689
L25_50_PB75_XMA110_S10,L25_50_PB75,110,10,2,0.1089602130435986,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.0839260522516454,0.004513616684773014,9,3,0.04938229878688083,-0.025830314934250698,-0.14025669172587962,-0.3185266113812938,0.5555555555555556,0.004513616684773014,-0.06802769433400346
L25_50_PB5_XMA100_S30,L25_50_PB5,100,30,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014,9,3,0.04938229878688083,-0.05529605880465083,-0.21963081307998122,-0.3476908910244205,0.5555555555555556,0.004513616684773014,-0.09749343820440359
L25_50_PB5_XMA110_S30,L25_50_PB5,110,30,2,0.1085585110367715,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.0835243502448183,0.004513616684773014,9,3,0.04938229878688083,-0.03477656076346414,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0769739401632169
L25_50_PB5_XMA130_S50,L25_50_PB5,130,50,2,0.10833435063850638,0.046755210828660854,-0.16919131993637776,-0.314511159322467,1.0,0.08330018984655319,0.0018865287265530384,9,3,0.046755210828660854,-0.038003723323117966,-0.2405136498870225,-0.3654299889106395,0.5555555555555556,0.0018865287265530384,-0.08283510093150392
L25_50_PB5_XMA120_S50,L25_50_PB5,120,50,2,0.10800927816142758,0.05470579970811751,-0.16343139662380268,-0.314511159322467,1.0,0.08297511736947438,0.009837117606009693,9,3,0.05470579970811751,-0.02872610022417843,-0.22243178859780188,-0.3654299889106395,0.5555555555555556,0.008196406138721857,-0.07355747783256439
L25_50_PB75_XMA90_S30,L25_50_PB75,90,30,2,0.10798700301028352,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08295284221833032,0.004513616684773014,9,3,0.01494441012647063,-0.03642429194933261,-0.08241817389431771,-0.32635212988377194,0.4444444444444444,-0.0023972935664207107,-0.07862167134908538
L25_50_PB5_XMA120_S30,L25_50_PB5,120,30,2,0.1072900668168627,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.08225590602490951,0.004513616684773014,9,3,0.04938229878688083,-0.03357910097014494,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0757764803698977
L25_50_PB75_XMA100_S20,L25_50_PB75,100,20,2,0.10706198908264875,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08202782829069555,0.004513616684773014,9,3,0.04938229878688083,-0.053920842519234125,-0.09151093478049721,-0.32635212988377194,0.5555555555555556,0.004513616684773014,-0.09611822191898689
L25_50_PB5_XMA110_S10,L25_50_PB5,110,10,2,0.10632432475659437,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.08129016396464117,0.004513616684773014,9,3,0.04938229878688083,-0.010190991751696576,-0.14613189872800503,-0.314511159322467,0.5555555555555556,0.004513616684773014,-0.050681166971900615
L25_50_PB75_XMA100_S10,L25_50_PB75,100,10,2,0.10600120194399065,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.08096704115203746,0.004513616684773014,9,3,0.02245202122204648,-0.062282916822192114,-0.08241817389431771,-0.32525344005023094,0.4444444444444444,-0.0023972935664207107,-0.10448029622194488
L25_50_PB5_XMA90_S30,L25_50_PB5,90,30,2,0.10536392220190882,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.08032976140995562,0.004513616684773014,9,3,0.01238880111172258,-0.014678473191491626,-0.11150161880958132,-0.33911969720114166,0.4444444444444444,-0.006163571469996132,-0.05687585259124439
L25_50_PB5_XMA100_S20,L25_50_PB5,100,20,2,0.10445114874580808,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07941698795385488,0.004513616684773014,9,3,0.04938229878688083,-0.03357910097014494,-0.13025451137931476,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0757764803698977
L25_50_PB75_XMA120_S20,L25_50_PB75,120,20,2,0.1034633929232116,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07842923213125841,0.004513616684773014,9,3,0.04938229878688083,-0.05798407123488658,-0.22594073173464913,-0.3217042356230927,0.5555555555555556,0.004513616684773014,-0.10018145063463935
L25_50_PB5_XMA100_S10,L25_50_PB5,100,10,2,0.10340448038914252,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07837031959718932,0.004513616684773014,9,3,0.012007720291173252,-0.04261339637447159,-0.09851086451756508,-0.3379721903791204,0.4444444444444444,-0.006453527879194065,-0.08481077577422436
L25_50_PB3_XMA100_S30,L25_50_PB3,100,30,2,0.10108256608223531,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07604840529028212,0.004513616684773014,9,3,0.04938229878688083,-0.07125555697926622,-0.20979463804270249,-0.3367394313116119,0.5555555555555556,0.004513616684773014,-0.11345293637901899
L25_50_PB3_XMA110_S30,L25_50_PB3,110,30,2,0.10108256608223531,0.04938229878688083,-0.15374620296089814,-0.3074924059217963,1.0,0.07604840529028212,0.004513616684773014,9,3,0.04938229878688083,-0.05202559167913323,-0.20979463804270249,-0.32845069326881793,0.5555555555555556,0.004513616684773014,-0.094222971078886
L25_50_PB75_XMA110_S20,L25_50_PB75,110,20,2,0.10091711704229545,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07588295625034225,0.004513616684773014,9,3,0.04938229878688083,-0.06391100013144435,-0.14210079562691458,-0.326501783074881,0.5555555555555556,0.004513616684773014,-0.10610837953119712
L25_50_PB5_XMA120_S20,L25_50_PB5,120,20,2,0.10090080949422808,0.04938229878688083,-0.1572555796612335,-0.314511159322467,1.0,0.07586664870227489,0.004513616684773014,9,3,0.04938229878688083,-0.037968873190932784,-0.21963081307998122,-0.3342836731360148,0.5555555555555556,0.004513616684773014,-0.08016625259068555
L25_50_PB3_XMA130_S50,L25_50_PB3,130,50,2,0.10081575999454762,0.046755210828660854,-0.1656819432360424,-0.3074924059217963,1.0,0.07578159920259442,0.0018865287265530384,9,3,0.046755210828660854,-0.045903807021788645,-0.2297421179500495,-0.3539292214503984,0.5555555555555556,0.0018865287265530384,-0.08810118642154141
I50_XMA120_S50,I50,120,50,2,0.10075608877776199,0.06448156558812279,-0.1632640527709815,-0.3021272629437828,1.0,0.07572192798580879,0.019612883486014976,9,3,0.06448156558812279,-0.06179719375895598,-0.20730116422403433,-0.3411325832304861,0.5555555555555556,0.016426841635706735,-0.10399457315870875
L25_50_PB75_XMA110_S50,L25_50_PB75,110,50,2,0.10066415813283747,0.04938229878688083,-0.15836409232479937,-0.31672818464959873,1.0,0.07562999734088427,0.004513616684773014,9,3,0.04938229878688083,-0.04898327075985842,-0.22594073173464913,-0.35166705249394403,0.5555555555555556,0.004513616684773014,-0.09118065015961119
