policy,n,campaigns,CAGR_Median,CAGR_Min,MDD_Worst,MDD_Median,DiffCAGR_Median,DiffCAGR_Min,WinRate,form,exit_ma,slope_lb
I50_XMA120_S50,9,3,0.0644815655881227,-0.0617971937589559,-0.3411325832304861,-0.2073011642240343,0.0164268416357067,-0.1039945731587087,0.5555555555555556,I50,120,50
I25_XMA120_S50,9,3,0.0547057997081175,-0.0095727265053856,-0.2287877052072593,-0.104711894054897,0.0081964061387218,-0.0517701059051384,0.5555555555555556,I25,120,50
L25_50_PB5_XMA120_S50,9,3,0.0547057997081175,-0.0287261002241784,-0.3654299889106395,-0.2224317885978018,0.0081964061387218,-0.0735574778325643,0.5555555555555556,L25_50_PB5,120,50
L25_50_PB3_XMA120_S50,9,3,0.0547057997081175,-0.0459038070217886,-0.3539292214503984,-0.2124699967229988,0.0081964061387218,-0.0881011864215414,0.5555555555555556,L25_50_PB3,120,50
L25_50_PB75_XMA120_S50,9,3,0.0547057997081175,-0.0489832707598584,-0.351667052493944,-0.2288222906116953,0.0081964061387218,-0.0911806501596111,0.5555555555555556,L25_50_PB75,120,50
I50_XMA110_S50,9,3,0.0538828901343135,-0.0617971937589559,-0.3411325832304861,-0.2046909838169215,0.0090142080322057,-0.1039945731587087,0.5555555555555556,I50,110,50
I50_XMA100_S20,9,3,0.0538828901343135,-0.0664614151956294,-0.3165795391079543,-0.1505677844850508,0.0090142080322057,-0.1086587945953821,0.5555555555555556,I50,100,20
I50_XMA120_S30,9,3,0.0538828901343135,-0.0664614151956294,-0.3165795391079543,-0.2046909838169215,0.0090142080322057,-0.1086587945953821,0.5555555555555556,I50,120,30
I50_XMA110_S30,9,3,0.0538828901343135,-0.0675084296142107,-0.3165795391079543,-0.2046909838169215,0.0090142080322057,-0.1097058090139635,0.5555555555555556,I50,110,30
I50_XMA120_S20,9,3,0.0538828901343135,-0.0702995687713495,-0.3120756437427497,-0.2046909838169215,0.0090142080322057,-0.1124969481711023,0.5555555555555556,I50,120,20
I50_XMA110_S20,9,3,0.0538828901343135,-0.0758979741316383,-0.3167248061832761,-0.1866979791627637,0.0090142080322057,-0.1180953535313911,0.5555555555555556,I50,110,20
I50_XMA100_S50,9,3,0.0538828901343135,-0.0833159415990804,-0.3411325832304861,-0.2048438806535589,0.0090142080322057,-0.1255133209988331,0.5555555555555556,I50,100,50
I50_XMA100_S30,9,3,0.0538828901343135,-0.0854466852712244,-0.3245539951301367,-0.2046909838169215,0.0090142080322057,-0.1276440646709772,0.5555555555555556,I50,100,30
I25_XMA110_S50,9,3,0.0493822987868808,-0.0095727265053856,-0.2287877052072593,-0.1033953503593847,0.004513616684773,-0.0517701059051384,0.5555555555555556,I25,110,50
I25_XMA100_S20,9,3,0.0493822987868808,-0.0118834083234186,-0.2287877052072593,-0.0701230581867582,0.004513616684773,-0.0540807877231713,0.5555555555555556,I25,100,20
I25_XMA120_S30,9,3,0.0493822987868808,-0.0118834083234186,-0.2287877052072593,-0.1033953503593847,0.004513616684773,-0.0540807877231713,0.5555555555555556,I25,120,30
I25_XMA110_S30,9,3,0.0493822987868808,-0.0124019650831093,-0.2287877052072593,-0.1033953503593847,0.004513616684773,-0.054599344482862,0.5555555555555556,I25,110,30
I25_XMA120_S20,9,3,0.0493822987868808,-0.0137840855456017,-0.2287877052072593,-0.1033953503593847,0.004513616684773,-0.0559814649453545,0.5555555555555556,I25,120,20
I25_XMA110_S20,9,3,0.0493822987868808,-0.0165552012430125,-0.2287877052072593,-0.0901718252493071,0.004513616684773,-0.0587525806427653,0.5555555555555556,I25,110,20
I25_XMA100_S50,9,3,0.0493822987868808,-0.0202246662932108,-0.2287877052072593,-0.1034725904647372,0.004513616684773,-0.0624220456929636,0.5555555555555556,I25,100,50
