policy,n,campaigns,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,WinRate,DiffCAGR_Median,DiffCAGR_Min
I25_N3_K2,9,3,0.04938229878688083,-0.012401965083109312,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05459934448286208
I25_W9_K3,9,3,0.04938229878688083,-0.01188340832341861,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.054080787723171375
I25_W9_K5,9,3,0.04938229878688083,-0.012401965083109312,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.05459934448286208
I25_W9_K7,9,3,0.04938229878688083,-0.020224666293210847,-0.10339535035938474,-0.22878770520725933,0.5555555555555556,0.004513616684773014,-0.06242204569296361
I50_N3_K2,9,3,0.05388289013431358,-0.06750842961421077,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10970580901396354
I50_W9_K3,9,3,0.05388289013431358,-0.06646141519562943,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10865879459538219
I50_W9_K5,9,3,0.05388289013431358,-0.06750842961421077,-0.20469098381692152,-0.31657953910795433,0.5555555555555556,0.009014208032205762,-0.10970580901396354
I50_W9_K7,9,3,0.05388289013431358,-0.0833159415990804,-0.20469098381692152,-0.3411325832304861,0.5555555555555556,0.009014208032205762,-0.12551332099883317
L25_50_PB5_N3_K2,9,3,0.04938229878688083,-0.03477656076346414,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0769739401632169
L25_50_PB5_W9_K3,9,3,0.04938229878688083,-0.03357910097014494,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0757764803698977
L25_50_PB5_W9_K5,9,3,0.04938229878688083,-0.03477656076346414,-0.21963081307998122,-0.33911969720114166,0.5555555555555556,0.004513616684773014,-0.0769739401632169
L25_50_PB5_W9_K7,9,3,0.04938229878688083,-0.05285833898559744,-0.21963081307998122,-0.3654299889106395,0.5555555555555556,0.004513616684773014,-0.09505571838535021
WAIT_NEXT,9,3,0.04049017522020404,0.0042863677505813325,0.0,0.0,0.0,0.0,0.0
