campaign_full_date,age_td,policy,family,votes_required,CAGR,MDD,Return,WinWait,DiffCAGR
1988-04-08,505,I25_N3_K2,N3,2,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,I50_N3_K2,N3,2,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735
1988-04-08,505,L25_50_PB5_N3_K2,N3,2,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,I25_W9_K3,W9,3,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,I25_W9_K5,W9,5,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,I25_W9_K7,W9,7,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,I50_W9_K3,W9,3,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735
1988-04-08,505,I50_W9_K5,W9,5,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735
1988-04-08,505,I50_W9_K7,W9,7,0.09507849435288951,0.0,0.041884495925175846,True,0.016426841635706735
1988-04-08,505,L25_50_PB5_W9_K3,W9,3,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,L25_50_PB5_W9_K5,W9,5,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,L25_50_PB5_W9_K7,W9,7,0.08684805885590463,0.0,0.038339652162946214,True,0.008196406138721857
1988-04-08,505,WAIT_NEXT,NONE,0,0.07865165271718277,0.0,0.03479480840071947,False,0.0
2002-12-12,505,I25_N3_K2,N3,2,0.012888054192322196,-0.09009190118783728,0.04132638810695832,False,-0.027602121027881843
2002-12-12,505,I50_N3_K2,N3,2,-0.016443927616694776,-0.18653932250351746,-0.0510817587526462,False,-0.056934102836898814
2002-12-12,505,L25_50_PB5_N3_K2,N3,2,-0.0033325591308848157,-0.14774154529290795,-0.010500572898877958,False,-0.043822734351088855
2002-12-12,505,I25_W9_K3,W9,3,0.009778100467708661,-0.09017182524930711,0.031249238566220194,False,-0.030712074752495377
2002-12-12,505,I25_W9_K5,W9,5,0.009690457339653236,-0.09009190118783728,0.030966219634937175,False,-0.030799717880550803
2002-12-12,505,I25_W9_K7,W9,7,0.01229858471479961,-0.09009190118783728,0.039411188048930734,False,-0.02819159050540443
2002-12-12,505,I50_W9_K3,W9,3,-0.02309845788172571,-0.18669797916276376,-0.07123605783412346,False,-0.06358863310192975
2002-12-12,505,I50_W9_K5,W9,5,-0.023286771083083635,-0.1866456243513388,-0.0718020956966876,False,-0.06377694630328767
2002-12-12,505,I50_W9_K7,W9,7,-0.017701155750583508,-0.18653932250351746,-0.0549121588687046,False,-0.05819133097078755
2002-12-12,505,L25_50_PB5_W9_K3,W9,3,-0.010949301688710222,-0.14792964260961528,-0.034216644802785856,False,-0.05143947690891426
2002-12-12,505,L25_50_PB5_W9_K5,W9,5,-0.011165056818906782,-0.14794318818008523,-0.034882715827863064,False,-0.05165523203911082
2002-12-12,505,L25_50_PB5_W9_K7,W9,7,-0.004770466139648599,-0.1477552582097451,-0.015007901295958193,False,-0.04526064135985264
2002-12-12,505,WAIT_NEXT,NONE,0,0.04049017522020404,0.0,0.1337345349665653,False,0.0
