age_td,policy,budget_pct,campaigns,initial_total_tqqq_target,CAGR_Median,CAGR_Min,MDD_Median,MDD_Worst,CAGR_Increment_Median,CAGR_Increment_Min,WinRate_vs_cash,Max_Total_TQQQ_Weight_Worst
505,HOLD100,0.1,3,0.1,0.032185372485014074,-0.014706755136328575,-0.08114781124184056,-0.36883695406255246,-0.008304802735189964,-0.09335840785351135,0.3333333333333333,0.6777703058010349
505,HOLD100,0.2,3,0.2,0.023733518939514697,-0.1034528898079694,-0.16337692231175838,-0.45079653659793173,-0.01675665628068934,-0.18210454252515218,0.3333333333333333,0.8255589827815367
505,HOLD100,0.3,3,0.3,0.015128031863631985,-0.18762857729353133,-0.23919257277555006,-0.48668180389233495,-0.025362143356572053,-0.2662802300107141,0.3333333333333333,0.8902669279963895
505,HOLD100,0.4,3,0.4,0.0063618459858734155,-0.26727710278580596,-0.30931692694304136,-0.5068200192747019,-0.03412832923433062,-0.34592875550298874,0.3333333333333333,0.9265799510260478
505,I25_N3_K2,0.1,3,0.025,0.037800806920631036,0.0034817503212294376,-0.004891516373059512,-0.010418613289281842,-0.0008046174293518948,-0.002689368299573003,0.3333333333333333,0.02603167975731486
505,I25_N3_K2,0.2,3,0.05,0.035096284086618024,0.002672807233451868,-0.012051462846775385,-0.02083566363749767,-0.0016135605171294642,-0.005393891133586015,0.3333333333333333,0.052008993163235165
505,I25_N3_K2,0.3,3,0.075,0.03237639468501885,0.0018594881791120788,-0.021795016257527666,-0.031230980995246016,-0.0024268795714692537,-0.008113780535185189,0.3333333333333333,0.07793211035374333
505,I25_N3_K2,0.4,3,0.1,0.02964092191448886,0.0010417419464068267,-0.0315249818111919,-0.041604633303642724,-0.0032446258041745057,-0.010849253305715179,0.3333333333333333,0.10380120075565549
505,I50_N3_K2,0.1,3,0.05,0.035096284086618024,0.002672807233451868,-0.012051462846775163,-0.02083566363749778,-0.0016135605171294642,-0.005393891133586015,0.3333333333333333,0.05200899316323517
505,I50_N3_K2,0.2,3,0.1,0.029640921914489082,0.0010417419464068267,-0.0315249818111919,-0.041604633303642946,-0.0032446258041745057,-0.010849253305714956,0.3333333333333333,0.10380120075565548
505,I50_N3_K2,0.3,3,0.15,0.024122334323779082,-0.0006072415524860375,-0.05110610761135026,-0.062287213123820906,-0.00489360930306737,-0.016367840896424957,0.3333333333333333,0.15537797537724823
505,I50_N3_K2,0.4,3,0.2,0.018538685749108996,-0.0022745718852084096,-0.07062832559424126,-0.08288394099538421,-0.006560939635789742,-0.021951489471095043,0.3333333333333333,0.206740658398904
505,L25_50_PB5_N3_K2,0.1,3,0.025,0.03628585936430939,0.0030481508098707533,-0.009871611255618862,-0.023254551036390403,-0.0012382169407105792,-0.004204315855894647,0.3333333333333333,0.058041045803301584
505,L25_50_PB5_N3_K2,0.2,3,0.05,0.032044333631590316,0.001799655640746911,-0.023484297681784283,-0.04622297559790478,-0.0024867121098344214,-0.008445841588613723,0.3333333333333333,0.11531810056735725
505,L25_50_PB5_N3_K2,0.3,3,0.075,0.027764776424761273,0.0005406970446977244,-0.03909853438131472,-0.068891044851766,-0.003745670705883608,-0.012725398795442766,0.3333333333333333,0.1718461502196752
505,L25_50_PB5_N3_K2,0.4,3,0.1,0.02344633684683428,-0.0007289153485539046,-0.054689213291380434,-0.09126461209156778,-0.005015283099135237,-0.017043838373369757,0.3333333333333333,0.2276397912954616
756,HOLD100,0.1,2,0.1,0.05600796076468317,0.032198073856472664,-0.21066376505793172,-0.34729833539406085,0.031150804032569313,-0.012633303751913294,0.5,0.638932089956904
756,HOLD100,0.2,2,0.2,0.07637536326945005,0.019381469233258786,-0.29228963077374076,-0.4362106408275246,0.051518206537336186,-0.025449908375127173,0.5,0.7992578454184533
756,HOLD100,0.3,2,0.3,0.09095625939324903,0.006373757471167085,-0.34644794094385933,-0.47666896739148734,0.06609910266113517,-0.03845762013721887,0.5,0.8722118841137102
756,HOLD100,0.4,2,0.4,0.10186038656237578,-0.006833431849328053,-0.38910825625453976,-0.49980027328850085,0.07700322983026192,-0.05166480945771401,0.5,0.9139220172012626
756,I25_N3_K2,0.1,2,0.025,0.028596139597843795,0.015160782065450462,-0.022185968227742048,-0.04061412751539262,0.003738982865729934,-0.0027998804781488307,0.5,0.10919473726559173
756,I25_N3_K2,0.2,2,0.05,0.03205164065007593,0.024880482552881666,-0.04220209894108923,-0.07481646643636952,0.007194483917962069,-0.005608578861115765,0.5,0.2010319973351729
756,I25_N3_K2,0.3,2,0.075,0.035254633705288474,0.034104064727614514,-0.06002441387411461,-0.10398233456931183,0.010397476973174613,-0.008426174925423524,0.5,0.2793457472535264
756,I25_N3_K2,0.4,2,0.1,0.03823108176056611,0.03357862796297684,-0.07603210564187207,-0.12914791007068582,0.01337392502845225,-0.011252749645409121,0.5,0.3469182459490154
756,I50_N3_K2,0.1,2,0.05,0.03205164065007604,0.02488048255288189,-0.04220209894108934,-0.07481646643636952,0.00719448391796218,-0.005608578861115765,0.5,0.20103199733517294
756,I50_N3_K2,0.2,2,0.1,0.03823108176056611,0.033578627962976615,-0.07603210564187196,-0.12914791007068582,0.01337392502845225,-0.011252749645409343,0.5,0.3469182459490155
756,I50_N3_K2,0.3,2,0.15,0.043589095101446595,0.02789821251754976,-0.10480282571556016,-0.1703731232205027,0.018731938369332735,-0.0169331650908362,0.5,0.457612740562705
