start_year,start,end,calendar_years,V7_FinalMultiple,V7_CAGR,V7_MDD,V7_StarterEntries,V7_FullEntries,V7_Exits,V7_TotalTrades,V7_InvestedDayPct,QQQ_FinalMultiple,QQQ_CAGR,QQQ_MDD,TQQQ3x_FinalMultiple,TQQQ3x_CAGR,TQQQ3x_MDD
1986,1986-01-02,2005-12-30,19.992196965030082,3.9513783347938216,0.07114700147154362,-0.66487235516152,5,3,4,12,0.3663562512383594,12.454915265070928,0.13445798073740467,-0.8296390603608674,1.4477829189522395,0.01868124071588695,-0.9995155055410618
1987,1987-01-02,2006-12-29,19.989459058023094,3.8069358323892053,0.06916340498514839,-0.6648723551615201,5,3,4,12,0.41625371655104065,12.260667931821011,0.1335858248319446,-0.8296390603608674,1.404297533946239,0.017130891595974473,-0.9995155055410618
1988,1988-01-04,2007-12-31,19.989459058023094,4.945349054303331,0.08324863611001176,-0.66487235516152,5,3,4,12,0.4661907594685703,12.884535306697314,0.13640387605299598,-0.8296390603608674,2.2556265903886983,0.04153213639220743,-0.9995155055410618
1989,1989-01-03,2008-12-31,19.992196965030082,5.501403366420312,0.0890256902391624,-0.5643134086518344,4,2,4,10,0.3442395399563752,6.9571878546485815,0.1018897083419037,-0.8296390603608674,0.2641048776610814,-0.06442730788042017,-0.9997464911893803
1990,1990-01-02,2009-12-31,19.99493487203707,13.645575478567322,0.13963025036018695,-0.5643134086518344,5,3,4,12,0.3821138211382114,8.252305761403756,0.11132318498836846,-0.8296390603608674,0.4476302260668771,-0.03940228606038676,-0.9997762471937379
1991,1991-01-02,2010-12-31,19.99493487203707,12.584463223246654,0.13502562188283718,-0.5643134086518345,4,2,3,9,0.3570011900039667,11.302326857641395,0.12894226567512312,-0.8296390603608674,1.3712302178053837,0.015914725536759766,-0.9997762471937379
1992,1992-01-02,2011-12-30,19.992196965030082,10.964092842666346,0.12724659075084732,-0.5643134086518344,4,2,3,9,0.40706209085498907,7.008190962610184,0.10229236305833767,-0.8296390603608674,0.3494175411456416,-0.051235724684585815,-0.9997762471937379
1993,1993-01-04,2012-12-31,19.989459058023094,16.129708995193333,0.14924644019095368,-0.5643134086518345,4,2,3,9,0.4570180663093111,7.7432055138627796,0.10782070252560016,-0.8296390603608674,0.5317701252923193,-0.031099979432951397,-0.9997762471937379
1994,1994-01-03,2013-12-31,19.992196965030082,37.52241655282393,0.19879593775426652,-0.5643134086518344,4,2,3,9,0.5071485305798252,9.532394738176901,0.11938429703743925,-0.8296390603608674,1.0961202714470901,0.004601190122795806,-0.9997762471937379
1995,1995-01-03,2014-12-31,19.992196965030082,56.4920878789041,0.2235833867214423,-0.5643134086518344,4,2,3,9,0.5571882446386021,11.290333079449978,0.12890106175417548,-0.8296390603608674,2.0271386333360106,0.03597711399887893,-0.9997762471937379
1996,1996-01-02,2015-12-31,19.99493487203707,62.69334395290714,0.2299397439226234,-0.5643134086518344,4,2,3,9,0.6072279586973789,8.392598418984482,0.11226052550862686,-0.8296390603608674,0.9776515159671579,-0.0011297474112168526,-0.9997762471937379
1997,1997-01-02,2016-12-30,19.992196965030082,66.39594174761936,0.23350989087230634,-0.5643134086518344,4,2,3,9,0.6575288041319031,6.457337706040623,0.09778801055902497,-0.8296390603608674,0.5282882027415258,-0.03141411160486274,-0.9997762471937379
1998,1998-01-02,2017-12-29,19.989459058023094,137.62591373723905,0.2793559706185087,-0.5643134086518344,4,2,3,9,0.7076709062003179,6.929830489187668,0.10168718397718002,-0.8296390603608674,0.854446107186596,-0.007838358441037085,-0.9997762471937379
1999,1999-01-04,2018-12-31,19.989459058023094,93.13698577937946,0.25460792724398673,-0.5643134086518344,4,2,4,10,0.7565096402305704,3.762987862927426,0.06854253723446524,-0.8296390603608674,0.16924953098607726,-0.0850317313944311,-0.9997762471937379
2000,2000-01-03,2019-12-31,19.992196965030082,90.75674336221115,0.25294542182538304,-0.5643134086518344,4,2,4,10,0.7565096402305704,2.5635286897956147,0.04821383540632018,-0.8296390603608674,0.07195617205557404,-0.12334018794327017,-0.9997762471937379
2001,2001-01-02,2020-12-31,19.99493487203707,225.21980800015018,0.3111733919391695,-0.5643134086518344,4,3,3,10,0.7867647058823529,6.745642438570678,0.10017473229124607,-0.7039796750406182,2.696853145139333,0.05086837413258438,-0.9967079689397218
2002,2002-01-02,2021-12-31,19.99493487203707,436.2864915994797,0.35525813784754345,-0.5643134086518344,3,3,2,8,0.8306195393169182,11.451268148580414,0.1296816925209896,-0.5340402623592566,29.998555915778397,0.18542402936478775,-0.9671606752991402
2003,2003-01-02,2022-12-30,19.992196965030082,211.6211804604952,0.30714371895319537,-0.5643134086518344,3,3,3,9,0.8182720953326713,12.192158350225316,0.13324868768018439,-0.5340402623592567,43.6315694928669,0.20787513981416716,-0.9459494048413949
2004,2004-01-02,2023-12-29,19.989459058023094,269.950700563345,0.32320863640738895,-0.5637273396039276,3,3,2,8,0.6232863103516789,13.184008513608813,0.13771086402436206,-0.5340402623592566,54.89847210335654,0.22186683952141562,-0.9459494048413949
2005,2005-01-03,2024-12-31,19.992196965030082,421.4505030051726,0.3529711974760006,-0.5637273396039271,3,3,2,8,0.6733558513808862,15.095543125409632,0.14542179513707554,-0.5340402623592566,75.34730356507353,0.24133790518730547,-0.9459494048413949
2006,2006-01-03,2025-12-31,19.992196965030082,548.7416311267256,0.37095075417841783,-0.5804007047324976,3,3,2,8,0.7233154442456768,17.374462702158482,0.15350575674588263,-0.5340402623592566,100.1811654593068,0.2591525511413737,-0.9459494048413949
