strategy,trend_ma,slope_lb,yellow_buy_cap,red_dd,red_target,rec_fast_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount
V4_M100_S5_YBC50_RD12_RT0_RF40,100,5,0.5,-0.12,0.0,40,0.09851566013329527,-0.5644880999703301,0.1745221203750324,12.92491251941726,4329,-0.48594329295366234,-0.5644880999703301,-0.057369880260514594,-0.2611935100806362,-0.3586632645215124,-0.46735853173936637,0.00878589593953838,-0.09501544963754271,6.924971300952947,-0.46735853173936637,0.1353254951671674,-0.46735853173936637,0.545826036193812,0.1882877359780677,278
V4_M100_S5_YBC50_RD12_RT0_RF60,100,5,0.5,-0.12,0.0,60,0.0987291488494133,-0.46735853173936637,0.21124927040910846,12.99350213508236,2582,-0.32889778690879556,-0.4662421370762363,-0.06918798563108641,-0.27045620258694214,-0.3586632645215131,-0.46735853173936637,-0.07495452548137949,-0.17013920774301283,5.1615596580460315,-0.46735853173936637,0.11793983243098705,-0.46735853173936637,0.5043782837127846,0.16602883424096343,214
V4_M100_S5_YBC50_RD12_RT15_RF40,100,5,0.5,-0.12,0.15,40,0.09927022928219742,-0.6047666820078526,0.1641463265678192,13.168914454462781,4041,-0.5295792445875835,-0.6047666820078526,-0.07114438407453327,-0.302548189766356,-0.2619666919825807,-0.46735853173936637,-0.10634435607084769,-0.22241127025111007,6.959865513156155,-0.46735853173936637,0.135631363085023,-0.46735853173936637,0.7267950963222417,0.20426215993904112,336
V4_M100_S5_YBC50_RD12_RT15_RF60,100,5,0.5,-0.12,0.15,60,0.09844259633414243,-0.6082281414273032,0.16185143308747826,12.90151880430857,3697,-0.5375718744821336,-0.6082281414273032,-0.024871637972662675,-0.26780327357066025,-0.26196669198258116,-0.4673585317393665,-0.12573109392328186,-0.23928008203902573,6.571188013136181,-0.4673585317393665,0.13215092510957804,-0.4673585317393665,0.7250437828371279,0.20143449250898918,258
V4_M100_S5_YBC50_RD12_RT25_RF40,100,5,0.5,-0.12,0.25,40,0.07963972554866094,-0.7846963440338146,0.10149113877511459,8.06132042881862,5650,-0.7322213052792892,-0.7846963440338146,-0.17074555350609955,-0.421202306161216,-0.23387405226480618,-0.4673585317393665,-0.15942517966863556,-0.30466814778731066,7.586534456218978,-0.4673585317393665,0.14092035471298558,-0.4673585317393665,0.7479568009340338,0.23522512408187815,353
V4_M100_S5_YBC50_RD12_RT25_RF60,100,5,0.5,-0.12,0.25,60,0.08046514845115205,-0.7214629816938465,0.11153052962223571,8.230879180523576,5630,-0.6712286794933207,-0.7214629816938465,-0.17328219723383576,-0.4122793089254888,-0.2338740522648064,-0.4673585317393665,-0.160179404709056,-0.3052920502426969,7.595938932161932,-0.4673585317393665,0.1409969324570628,-0.4673585317393665,0.7632807939287799,0.24386870092190616,254
V4_M100_S5_YBC50_RD15_RT0_RF40,100,5,0.5,-0.15,0.0,40,0.11094365522334071,-0.5644880999703301,0.1965385191099192,17.559014787092135,3614,-0.48594329295366234,-0.5644880999703301,-0.05736988026051426,-0.2611935100806352,-0.3586632645215122,-0.4673585317393665,-0.012656345922898549,-0.11425134269348936,8.458841126462993,-0.4673585317393665,0.14770879094860456,-0.4673585317393665,0.5719497956800934,0.19804725751371563,259
V4_M100_S5_YBC50_RD15_RT0_RF60,100,5,0.5,-0.15,0.0,60,0.11239282246438997,-0.4673585317393665,0.24048522671897746,18.193659635163776,2585,-0.32889778690879556,-0.4662421370762363,-0.06918798563108708,-0.2704562025869427,-0.3586632645215124,-0.4673585317393665,-0.08979995856247536,-0.1834570858338026,7.729272456689106,-0.4673585317393665,0.14207424698757332,-0.4673585317393665,0.5659661412726211,0.19632617730756824,204
V4_M100_S5_YBC50_RD15_RT15_RF40,100,5,0.5,-0.15,0.15,40,0.10670893094704836,-0.6047666820078526,0.1764464447558022,15.82431270154826,3695,-0.5295792445875835,-0.6047666820078526,-0.07114438407453316,-0.30254818976635567,-0.2544527792639891,-0.4673585317393665,-0.12632944558580872,-0.2398007205113143,8.187159371752154,-0.4673585317393665,0.14565983332642318,-0.4673585317393665,0.7368651488616462,0.21592626388759073,306
V4_M100_S5_YBC50_RD15_RT15_RF60,100,5,0.5,-0.15,0.15,60,0.10687596815671085,-0.6082281414273032,0.1757169076490107,15.889493438946102,3597,-0.5375718744821336,-0.6082281414273032,-0.024871637972661897,-0.2678032735706599,-0.2544527792639889,-0.4673585317393665,-0.14412919510170208,-0.2552886600884179,7.39687438239258,-0.4673585317393665,0.13935896687148297,-0.4673585317393665,0.7257734967892586,0.2182794205554167,245
V4_M100_S5_YBC50_RD15_RT25_RF40,100,5,0.5,-0.15,0.25,40,0.08641582778877277,-0.7846963440338146,0.1101264564895805,9.559044985515563,5207,-0.7322213052792892,-0.7846963440338146,-0.1707455535060991,-0.4212023061612158,-0.22740723021715603,-0.46735853173936637,-0.165749850567661,-0.3098999784637535,8.974518081691663,-0.46735853173936637,0.151450363495228,-0.46735853173936637,0.7486865148861647,0.2426596400099401,329
V4_M100_S5_YBC50_RD15_RT25_RF60,100,5,0.5,-0.15,0.25,60,0.08565847822967121,-0.7214629816938465,0.11872886122107436,9.379198142834701,5210,-0.6712286794933207,-0.7214629816938465,-0.17328219723383653,-0.4122793089254888,-0.2274072302171556,-0.46735853173936637,-0.16792520984517334,-0.31169945729547066,8.876183585460474,-0.46735853173936637,0.15075111649924455,-0.46735853173936637,0.7594862813776999,0.25298498564996064,253
V4_M100_S5_YBC50_RD18_RT0_RF40,100,5,0.5,-0.18,0.0,40,0.11554820300941082,-0.5644880999703301,0.204695551625418,19.6528547397031,2110,-0.48594329295366234,-0.5644880999703301,0.029755234078020276,-0.2535357176609301,-0.3586632645215123,-0.46735853173936637,-0.08359320102882162,-0.18071209246921605,7.152819174516212,-0.46735853173936637,0.13730032293368444,-0.46735853173936637,0.5824576765907764,0.20313321440479484,242
V4_M100_S5_YBC50_RD18_RT0_RF60,100,5,0.5,-0.18,0.0,60,0.1225408691413068,-0.46735853173936637,0.2621988491046626,23.29920812021324,1681,-0.32889778690879556,-0.4662421370762363,0.01005031798072098,-0.23308522761229045,-0.3586632645215133,-0.46735853173936637,-0.1524664595456594,-0.2396753730276736,6.54808329114598,-0.46735853173936637,0.13193878755320942,-0.46735853173936637,0.583041447752481,0.20349244114314458,193
V4_M100_S5_YBC50_RD18_RT15_RF40,100,5,0.5,-0.18,0.15,40,0.11330430875627018,-0.6047666820078526,0.1873521014419888,18.60409223218915,2660,-0.5295792445875835,-0.6047666820078526,-0.0992443442587323,-0.3316129964586162,-0.24439756667372625,-0.4673585317393665,-0.17181345474231802,-0.27937732157030293,8.641446904390966,-0.4673585317393665,0.14905514055321478,-0.4673585317393665,0.7161412726211325,0.21681465621001372,294
