strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A25_F60_M100_W100_X120S40D20,-0.25,60,100,1.0,120,40,-0.2,0.2706975907115199,-0.6228450738253394,0.43461464509781117,681.9715406464663,1140,-0.5520468229411096,-0.6228450738253394,-0.23344619930285226,-0.5645312519475085,0.9277666407707252,-0.14723087963306436,-0.36866174447644795,-0.5897763939426199,261.87405762167936,-0.5897763939426199,0.4072212415818153,-0.5897763939426199,0.7463514302393461,0.7463514302393461,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962006,0.7319147958398969,2023-01-25,2023-01-25,1.0,1.0,0
BH_A25_F60_M120_W100_X120S40D20,-0.25,60,120,1.0,120,40,-0.2,0.2706975907115199,-0.6228450738253394,0.43461464509781117,681.9715406464663,1140,-0.5520468229411096,-0.6228450738253394,-0.23344619930285226,-0.5645312519475085,0.9277666407707252,-0.14723087963306436,-0.36866174447644795,-0.5897763939426199,261.87405762167936,-0.5897763939426199,0.4072212415818153,-0.5897763939426199,0.7463514302393461,0.7463514302393461,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962006,0.7319147958398969,2023-01-25,2023-01-25,1.0,1.0,0
BH_A25_F60_M150_W100_X120S40D20,-0.25,60,150,1.0,120,40,-0.2,0.2706975907115199,-0.6228450738253394,0.43461464509781117,681.9715406464663,1140,-0.5520468229411096,-0.6228450738253394,-0.23344619930285226,-0.5645312519475085,0.9277666407707252,-0.14723087963306436,-0.36866174447644795,-0.5897763939426199,261.87405762167936,-0.5897763939426199,0.4072212415818153,-0.5897763939426199,0.7463514302393461,0.7463514302393461,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962006,0.7319147958398969,2023-01-25,2023-01-25,1.0,1.0,0
BH_A30_F60_M100_W100_X120S40D20,-0.3,60,100,1.0,120,40,-0.2,0.23711540329540193,-0.6414053536754106,0.3696810479311909,328.81315428473886,1987,-0.5520468229411096,-0.6228450738253394,-0.23344619930285226,-0.5645312519475085,0.0018368852408512382,0.0,0.1369354458349601,-0.22408021225115837,125.74494889372691,-0.6414053536754106,0.3456661444079241,-0.6414053536754106,0.6805312317571512,0.6805312317571512,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962004,0.7319147958398967,2023-01-25,2023-01-25,1.0,1.0000000000000002,0
BH_A30_F60_M120_W100_X120S40D20,-0.3,60,120,1.0,120,40,-0.2,0.23711540329540193,-0.6414053536754106,0.3696810479311909,328.81315428473886,1987,-0.5520468229411096,-0.6228450738253394,-0.23344619930285226,-0.5645312519475085,0.0018368852408512382,0.0,0.1369354458349601,-0.22408021225115837,125.74494889372691,-0.6414053536754106,0.3456661444079241,-0.6414053536754106,0.6805312317571512,0.6805312317571512,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962004,0.7319147958398967,2023-01-25,2023-01-25,1.0,1.0000000000000002,0
BH_A30_F60_M150_W100_X120S40D20,-0.3,60,150,1.0,120,40,-0.2,0.23711540329540193,-0.6414053536754106,0.3696810479311909,328.81315428473886,1987,-0.5520468229411096,-0.6228450738253394,-0.23344619930285226,-0.5645312519475085,0.0018368852408512382,0.0,0.1369354458349601,-0.22408021225115837,125.74494889372691,-0.6414053536754106,0.3456661444079241,-0.6414053536754106,0.6805312317571512,0.6805312317571512,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.497234748962004,0.7319147958398967,2023-01-25,2023-01-25,1.0,1.0000000000000002,0
BH_A30_F60_M100_W35_X120S40D20,-0.3,60,100,0.35,120,40,-0.2,0.25184758063938584,-0.6293474610951066,0.40017255364970283,453.92028346265636,1972,-0.3671833806685416,-0.473853167221418,-0.27528939833276467,-0.5645312519475085,0.0018368852408516823,0.0,0.17516536816405215,-0.1792991903705956,130.00679996852884,-0.6293474610951066,0.34839762211755376,-0.6293474610951066,0.6805312317571512,0.6716429863132769,18,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8078286017426395,0.6646117732737844,2023-01-25,2023-02-16,1.0,1.0,0
BH_A30_F60_M100_W35_X150S20D20,-0.3,60,100,0.35,150,20,-0.2,0.22754805139965661,-0.6406367688331958,0.35519043312811144,266.1428782595034,1972,-0.5814851332159497,-0.6150859183397831,-0.2979571913307173,-0.5687068946141483,0.00183688524085035,0.0,0.1751653681640526,-0.17929919037059572,130.0067999685284,-0.6293474610951079,0.34839762211755354,-0.6293474610951079,0.6768826619964974,0.6658944980950687,47,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8078286017426395,0.6646117732737844,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W35_X150S40D15,-0.25,60,100,0.35,150,40,-0.15,0.20980499733009594,-0.6800173875261831,0.3085288717297948,179.01677933080856,3243,-0.6273478508141199,-0.6572665126933177,0.4003738278426425,-0.16819527136318269,0.9032933212481484,-0.14723087963306436,-0.30033002109349216,-0.5453766039266863,113.92558862439907,-0.5804007047324976,0.33761356099937334,-0.5804007047324976,0.5089025102159953,0.4979198788268172,50,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742639,0.6646117732737844,2023-01-25,2023-02-16,1.0,1.0,0
BH_A30_F60_M100_W35_X150S40D15,-0.3,60,100,0.35,150,40,-0.15,0.1754201922819365,-0.6800173875261831,0.2579642748843421,81.6262063109519,3243,-0.6273478508141199,-0.6572665126933177,0.4003738278426425,-0.16819527136318269,0.0018368852408512382,0.0,0.17644368971706714,-0.1792991903705956,51.402572778541426,-0.5804007047324975,0.27473216196687833,-0.5804007047324975,0.44366608289550497,0.4327783053795433,47,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742639,0.6646117732737844,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
