strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A20_F40_M100_W35_X100S10D10,-0.2,40,100,0.35,100,10,-0.1,0.09166896758927434,-0.796802915787719,0.11504597407082834,10.901145695141699,3364,-0.7333110150779787,-0.796802915787719,0.4348006691884303,-0.1681952713631828,-0.05813213110457749,-0.6844824066775053,-0.2823134381895481,-0.5336699988809352,5.900408706285917,-0.6844824066775053,0.12572955060197155,-0.6844824066775053,0.3345008756567426,0.31728083756614306,60,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.73320632593783,0.16920363262906196,2023-02-03,2023-02-16,0.0,1.0,2
BH_A20_F40_M100_W35_X100S10D15,-0.2,40,100,0.35,100,10,-0.15,0.11308697254677491,-0.796802915787719,0.14192590200925304,18.505425815123996,3298,-0.7333110150779787,-0.796802915787719,0.43480066918842875,-0.16819527136318269,-0.05813213110457782,-0.6844824066775052,-0.24027952490236815,-0.5063576931010951,13.418948285575153,-0.6844824066775052,0.17776293165284884,-0.6844824066775052,0.39594279042615294,0.3787227523355534,59,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.154967730343808,0.30800256888791644,2023-02-03,2023-02-16,1.0,1.0000000000000002,1
BH_A20_F40_M100_W35_X100S10D20,-0.2,40,100,0.35,100,10,-0.2,0.18955783711695973,-0.8131315135202508,0.23312076086722575,113.04565378140242,2635,-0.7588443136749237,-0.8131315135202508,-0.5000927500543058,-0.6957246706017719,-0.058132131104578266,-0.6844824066775052,-0.41327766853862913,-0.6187664085603661,123.11482737281924,-0.7020362542125307,0.3439371142546337,-0.7020362542125307,0.8169877408056042,0.7948265121473692,60,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.170459161312253,0.30951491416109955,2023-02-03,2023-02-16,1.0,1.0000000000000002,1
BH_A20_F40_M100_W35_X100S20D10,-0.2,40,100,0.35,100,20,-0.1,0.11807473620278786,-0.6992207245312605,0.16886618496890535,20.90188822292872,3490,-0.5622937933838081,-0.6630855557375578,0.4348006691884292,-0.16819527136318269,0.03834979989753151,-0.6992207245312605,-0.1508014332670009,-0.4482176626298643,7.324007791078294,-0.6992207245312605,0.13875027113765337,-0.6992207245312605,0.3422358435493287,0.32541776771353975,59,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.755307350983983,0.171361237102731,2023-02-03,2023-02-16,0.0,1.0000000000000002,2
BH_A20_F40_M100_W35_X100S20D15,-0.2,40,100,0.35,100,20,-0.15,0.12397173270464967,-0.6992207245312605,0.17729985447407487,24.121774354906368,3083,-0.5622937933838081,-0.6630855557375578,0.4348006691884305,-0.16819527136318269,0.03834979989753151,-0.6992207245312605,-0.3413403305601065,-0.5720238043580501,10.45159882888333,-0.6992207245312605,0.1612411821553712,-0.6992207245312605,0.39842381786339753,0.38160574202760866,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.154967730343808,0.30800256888791644,2023-02-03,2023-02-16,1.0,1.0000000000000002,1
BH_A20_F40_M100_W35_X100S20D20,-0.2,40,100,0.35,100,20,-0.2,0.21920770659412203,-0.7159546045272236,0.3061754267770574,221.04076495009602,1267,-0.600082130325843,-0.690108708772154,-0.5161836830969979,-0.7055186352870647,0.14747731146557252,-0.6992207245312605,-0.41327766853862835,-0.6187664085603657,150.20905291503215,-0.7159546045272236,0.36030659663614606,-0.7159546045272236,0.8164039696438996,0.7947399555455283,59,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.170459161312255,0.30951491416109983,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X100S40D10,-0.2,40,100,0.35,100,40,-0.1,0.1257011265972643,-0.6992207245312605,0.1797731705986419,25.153331318456985,3501,-0.4123908522580708,-0.5443170556018022,0.4348006691884294,-0.16819527136318257,0.6475388370201063,-0.6992207245312605,-0.32031069291399206,-0.5583594117542547,6.461680088543089,-0.6992207245312605,0.13114003150432163,-0.6992207245312605,0.31932282545242263,0.30399836467056,55,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.0117702281782806,0.09877369787527576,2023-02-03,2023-02-16,0.0,1.0,1
BH_A20_F40_M100_W35_X100S40D15,-0.2,40,100,0.35,100,40,-0.15,0.13639028135154962,-0.6992207245312605,0.19506041020592194,32.53764339360543,3035,-0.4123908522580708,-0.5443170556018022,0.4348006691884283,-0.16819527136318269,0.6475388370201063,-0.6992207245312605,-0.3413403305601068,-0.5720238043580503,10.506337983136484,-0.6992207245312605,0.16158075712672937,-0.6992207245312605,0.35741389375364857,0.342089432971786,55,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.1178052948623156,0.10912533241555214,2023-02-03,2023-02-16,0.0,1.0000000000000002,1
BH_A20_F40_M100_W35_X100S40D20,-0.2,40,100,0.35,100,40,-0.2,0.26992250513151483,-0.737588723981058,0.36595259167552935,670.7317823176159,1136,-0.46967174444152693,-0.5808663640432539,-0.5616115151978801,-0.737588723981058,0.6475388370201063,-0.6992207245312605,-0.4132776685386288,-0.6187664085603659,380.85784802412707,-0.7159546045272234,0.43980791232128325,-0.7159546045272234,0.8199065966141272,0.7996372972506082,55,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.335272404968974,0.6184786476793962,2023-02-03,2023-02-16,1.0,1.0000000000000002,0
BH_A20_F40_M100_W35_X120S10D10,-0.2,40,100,0.35,120,10,-0.1,0.10374770337167627,-0.7034695691704536,0.1474800160780484,14.7106609767924,3538,-0.45761913832805323,-0.531854077467669,0.4348006691884325,-0.16819527136318269,-0.16843025090724983,-0.7034695691704536,-0.3008175323283163,-0.5456933732892164,3.889609501895931,-0.7034695691704536,0.10220297407738288,-0.7034695691704536,0.3254524226503211,0.30765196246199716,65,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.917544254710521,0.18719955539537164,2023-02-03,2023-02-16,0.0,1.0000000000000002,2
BH_A20_F40_M100_W35_X120S10D15,-0.2,40,100,0.35,120,10,-0.15,0.11032654197683,-0.7034695691704533,0.1568320035604802,17.29528087185192,3538,-0.45761913832805323,-0.531854077467669,0.4348006691884325,-0.16819527136318269,-0.16843025090724906,-0.7034695691704533,-0.23559675144470382,-0.5033149751961585,6.374356449000301,-0.7034695691704533,0.1303238959426376,-0.7034695691704533,0.3426736719206071,0.32487321173228323,64,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.154967730343807,0.30800256888791633,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X120S10D20,-0.2,40,100,0.35,120,10,-0.2,0.2064100176339101,-0.7513760783249073,0.27470932810913234,165.82614355606998,1147,-0.45761913832805323,-0.531854077467669,-0.5915248824112093,-0.7513760783249073,-0.16843025090724995,-0.7034695691704536,-0.40966122294996266,-0.616416556737649,109.25570259078351,-0.7199670643416876,0.3342157561473127,-0.7199670643416876,0.8029772329246935,0.7816481548909182,65,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.1704591613122535,0.30951491416109966,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X120S20D10,-0.2,40,100,0.35,120,20,-0.1,0.11705373488940296,-0.6992207245312605,0.16740598609669752,20.388197542014368,3538,-0.3546254710337359,-0.5133571921555871,0.4348006691884294,-0.16819527136318257,-0.022772750424473687,-0.6992207245312605,-0.1959388958927567,-0.47754655649083044,4.506766652055454,-0.6992207245312605,0.11026517308178119,-0.6992207245312605,0.340630472854641,0.32301650967825823,64,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.4447232443119122,0.14104057746785986,2023-02-03,2023-02-16,0.0,1.0,2
BH_A20_F40_M100_W35_X120S20D15,-0.2,40,100,0.35,120,20,-0.15,0.1237394971203567,-0.6992207245312605,0.17696771960429014,23.986392523866858,3538,-0.3546254710337359,-0.5133571921555871,0.43480066918842875,-0.1681952713631828,-0.022772750424473576,-0.6992207245312605,-0.31501766803324815,-0.5549201717992331,6.723118439251683,-0.6992207245312605,0.13353093384124604,-0.6992207245312605,0.351138353765324,0.33352439058894123,63,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.154967730343806,0.3080025688879163,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X120S20D20,-0.2,40,100,0.35,120,20,-0.2,0.23391388855551076,-0.7429114937309352,0.31486104405355825,306.40654887925143,1097,-0.3546254710337359,-0.5133571921555871,-0.5569807834711973,-0.7429114937309352,0.03506688251646639,-0.6992207245312605,-0.3898299084212332,-0.6035307965486247,140.84707908274387,-0.7159546045272234,0.35498631954291593,-0.7159546045272234,0.8099824868651488,0.7888399058433146,64,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.170459161312254,0.3095149141610998,2023-02-03,2023-02-16,1.0,1.0,1
BH_A20_F40_M100_W35_X120S40D10,-0.2,40,100,0.35,120,40,-0.1,0.1436341825209413,-0.6992207245312605,0.20542037368418956,38.68556521858305,3073,-0.3452618741915444,-0.5062965988810026,0.43480066918842986,-0.16819527136318269,0.6475388370201063,-0.6992207245312605,-0.2725841430428285,-0.5273482109890008,9.299377526755697,-0.6992207245312605,0.15371527464243684,-0.6992207245312605,0.35931115002918856,0.3423278634590087,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9673998310390515,0.09444205410915384,2023-02-03,2023-02-16,0.0,1.0,1
BH_A20_F40_M100_W35_X120S40D15,-0.2,40,100,0.35,120,40,-0.15,0.13424791766292432,-0.6992207245312605,0.1919964797280868,30.907584728805404,3083,-0.3452618741915444,-0.5062965988810026,0.4348006691884303,-0.16819527136318257,0.6475388370201063,-0.6992207245312605,-0.2725841430428292,-0.5273482109890013,8.809277424548519,-0.6992207245312605,0.1502716074571775,-0.6992207245312605,0.36179217746643316,0.3448088908962533,58,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9673998310390552,0.09444205410915421,2023-02-03,2023-02-16,0.0,1.0,1
