strategy,arm_dd,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,score
BH_A30_F60_M120_W35_X150S40D20,-0.3,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,1.350717202951998
BH_A25_F60_M120_W35_X150S40D20,-0.25,60,120,0.35,150,40,-0.2,0.32277410052192423,-0.6992207245312605,0.46161975639137937,2036.4275731728121,1087,-0.4617222601150085,-0.504938298803906,-0.3042295661720761,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.3500969164804142,-0.549960507345778,729.86977550473,-0.6992207245312605,0.49827344789899164,-0.6992207245312605,0.7967016929363689,0.7810001597541101,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926989,0.6614998557148256,2023-01-25,2023-03-20,1.0,1.0000000000000002,0,1.350717202951998
BH_A25_F80_M120_W35_X150S40D20,-0.25,80,120,0.35,150,40,-0.2,0.31612241607003755,-0.6992207245312605,0.45210675968158387,1775.1580395503788,1098,-0.4068444152228383,-0.44824487463735996,-0.30334520298851986,-0.5643134086518345,0.6475388370201061,-0.6992207245312605,-0.35307256451363467,-0.5499605073457781,726.5234131544498,-0.6992207245312605,0.4978519331380451,-0.6992207245312605,0.7877991827203736,0.7763245209396376,33,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153328,0.6153667301204377,2023-02-03,2023-03-20,1.0,1.0000000000000002,0,1.3350766083776773
BH_A30_F80_M120_W35_X150S40D20,-0.3,80,120,0.35,150,40,-0.2,0.31612241607003755,-0.6992207245312605,0.45210675968158387,1775.1580395503788,1098,-0.4068444152228383,-0.44824487463735996,-0.30334520298851986,-0.5643134086518345,0.6475388370201061,-0.6992207245312605,-0.35307256451363467,-0.5499605073457781,726.5234131544498,-0.6992207245312605,0.4978519331380451,-0.6992207245312605,0.7877991827203736,0.7763245209396376,33,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153328,0.6153667301204377,2023-02-03,2023-03-20,1.0,1.0000000000000002,0,1.3350766083776773
BH_A25_F60_M150_W35_X150S40D20,-0.25,60,150,0.35,150,40,-0.2,0.3147497576181917,-0.6992207245312605,0.4501436335846478,1725.4155825839723,1094,-0.45918865630776884,-0.5482267498426107,-0.38884368978220785,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.37605308460854847,-0.5945790527013111,700.679917426143,-0.6992207245312605,0.4945339383148992,-0.6992207245312605,0.7967016929363689,0.7838516889852803,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.465392211716074,0.631181546145156,2023-01-25,2023-02-07,1.0,1.0,0,1.3041491351910517
BH_A30_F60_M150_W35_X150S40D20,-0.3,60,150,0.35,150,40,-0.2,0.3147497576181917,-0.6992207245312605,0.4501436335846478,1725.4155825839723,1094,-0.45918865630776884,-0.5482267498426107,-0.38884368978220785,-0.5643134086518344,0.6475388370201061,-0.6992207245312605,-0.37605308460854847,-0.5945790527013111,700.679917426143,-0.6992207245312605,0.4945339383148992,-0.6992207245312605,0.7967016929363689,0.7838516889852803,43,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.465392211716074,0.631181546145156,2023-01-25,2023-02-07,1.0,1.0,0,1.3041491351910517
BH_A20_F60_M120_W35_X150S40D20,-0.2,60,120,0.35,150,40,-0.2,0.3099953334101553,-0.6992207245312605,0.44334402933775763,1563.2946176063442,1087,-0.4617222601150085,-0.504938298803906,-0.4657762988258961,-0.650855293985988,0.6475388370201061,-0.6992207245312605,-0.3502245789005146,-0.549960507345778,729.726208553464,-0.6992207245312605,0.4982554011362743,-0.6992207245312605,0.810128429655575,0.787625267556628,52,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.775952245926987,0.6614998557148254,2023-01-25,2023-03-20,1.0,1.0,0,1.3036996429391998
BH_A20_F60_M150_W35_X150S40D20,-0.2,60,150,0.35,150,40,-0.2,0.30973065908035124,-0.6992207245312605,0.44296550175623967,1554.714628690557,1094,-0.45918865630776884,-0.5482267498426107,-0.4491991682186922,-0.5797032984011903,0.6475388370201063,-0.6992207245312605,-0.3761756483803663,-0.5946586907590514,700.5420843266164,-0.6992207245312605,0.4945159365947225,-0.6992207245312605,0.810128429655575,0.7884188987064135,51,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.465392211716076,0.6311815461451563,2023-01-25,2023-02-07,1.0,1.0000000000000002,0,1.2875258480223297
BH_A20_F80_M120_W35_X150S40D20,-0.2,80,120,0.35,150,40,-0.2,0.30164112363341977,-0.6992207245312605,0.43139614294989925,1313.3001869087968,1098,-0.4068444152228383,-0.44824487463735996,-0.48459976253279324,-0.6631574675654568,0.6475388370201061,-0.6992207245312605,-0.35307256451363433,-0.5499605073457781,726.5234131544502,-0.6992207245312605,0.4978519331380451,-0.6992207245312605,0.7987448920023351,0.7818329978934515,36,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.303396049153325,0.6153667301204375,2023-02-03,2023-03-20,1.0,1.0000000000000002,0,1.2817483251764616
BH_A30_F40_M150_W35_X150S40D20,-0.3,40,150,0.35,150,40,-0.2,0.31254615011027287,-0.6992207245312605,0.4469921144282383,1648.357160433358,1206,-0.39776906514054844,-0.5625581873833869,-0.40995903851640825,-0.5643134086518344,0.6475388370201063,-0.6992207245312605,-0.392379083733443,-0.6051871699425986,682.3199809711832,-0.6992207245312605,0.4921063032774302,-0.6992207245312605,0.7972854640980735,0.7852367616300985,67,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.992836014942412,0.5850484205507682,2023-02-03,2023-02-07,1.0,1.0,0,1.2810873756070198
