strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak,Roll3y_CAGR_P10,Roll3y_CAGR_Median,Roll3y_WorstMDD,Roll5y_CAGR_P10,Roll5y_CAGR_Median,Roll5y_WorstMDD
BH_A25_F80_M110_W35_X110S50D18,80,110,0.35,110,50,-0.18,0.31351685347257696,-0.5804007047324976,0.5401731095710413,1681.8843335363663,750,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306436,-0.3251312262841064,-0.5614916416879032,344.38251077044595,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,0.7446001167542323,0.7362844216366656,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.87505629663021,0.6711748523590746,2023-02-03,2023-02-28,1.0,1.0,0,0.046026023193210495,0.307844732126596,-0.5804007047324976,0.11938778166716434,0.29596825739255017,-0.5804007047324976
BH_A25_F70_M110_W35_X120S50D18,70,110,0.35,120,50,-0.18,0.31022462341163726,-0.5804007047324975,0.5345007696960284,1570.7644040633252,874,-0.08936815790683916,-0.35122816633236753,-0.21894742375529286,-0.5643134086518344,0.7715778855468698,-0.14723087963306436,-0.29269739675532647,-0.5404171663315621,291.3106840089473,-0.5804007047324975,0.41640917857284965,-0.5804007047324975,0.7438704028021016,0.7345900215257575,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.10754789036875,0.6938717590271224,2023-01-27,2023-02-28,1.0,1.0,0,0.0361843046335638,0.28687860082670635,-0.5804007047324975,0.13209462860292734,0.2964040563042474,-0.5804007047324975
BH_A25_F80_M110_W35_X120S50D18,80,110,0.35,120,50,-0.18,0.30895032219950225,-0.5804007047324976,0.5323052154836634,1529.6815283959654,979,-0.2517738759391892,-0.40045091868371596,-0.21652606547907782,-0.5643134086518344,1.1938242172670077,-0.14723087963306447,-0.32513122628410673,-0.5614916416879034,344.382510770446,-0.5804007047324976,0.4309722687677704,-0.5804007047324976,0.7441622883829538,0.7362523090667825,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630215,0.6711748523590751,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.03461027939848523,0.307844732126596,-0.5804007047324976,0.1156737812024503,0.29596825739255017,-0.5804007047324976
BH_A25_F80_M110_W35_X110S50D20,80,110,0.35,110,50,-0.2,0.3113995039576867,-0.5960664019195395,0.5224241845453339,1609.5821818419954,734,-0.22223753493752263,-0.3825580141011322,-0.17128434617060462,-0.5643134086518344,1.1938242172670086,-0.14723087963306447,-0.3024354779609214,-0.549960507345778,329.5349388010936,-0.5960664019195395,0.4271222603315523,-0.5960664019195395,0.7454757734967893,0.7371600783792225,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630212,0.6711748523590748,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.04265778335697111,0.31859068100548815,-0.5960664019195395,0.11938778166716434,0.29596825739255017,-0.5960664019195395
BH_A25_F70_M110_W50_X120S50D18,70,110,0.5,120,50,-0.18,0.31084388157527054,-0.5804007047324975,0.5355677190614995,1591.110756868399,874,-0.10260171027175657,-0.3882014298167411,-0.19908359176032042,-0.5643134086518344,0.7774460477495024,-0.14723087963306447,-0.29334227068606933,-0.5408361849907473,292.0115386310123,-0.5804007047324975,0.4166171661784688,-0.5804007047324975,0.7438704028021016,0.7367928966583247,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.039217840634107,0.6872010629537221,2023-01-27,2023-02-28,1.0,1.0,0,0.03461027939848514,0.28142002942331334,-0.5804007047324975,0.13068102624512623,0.29616754662605205,-0.5804007047324975
BH_A25_F80_M110_W35_X100S50D20,80,110,0.35,100,50,-0.2,0.31110772101639017,-0.5960664019195397,0.5219346703899361,1599.8563800817633,734,-0.22693711700116959,-0.3862888694877312,-0.1712843461706025,-0.5643134086518344,1.1938242172670068,-0.14723087963306436,-0.30243547796092085,-0.5499605073457781,329.5349388010936,-0.5960664019195397,0.4271222603315523,-0.5960664019195397,0.7456217162872154,0.7372022353052727,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630217,0.6711748523590753,2023-02-03,2023-02-28,1.0,1.0,0,0.04265778335697125,0.3185906810054884,-0.5960664019195397,0.11803008985686754,0.29596825739254995,-0.5960664019195397
BH_A25_F70_M110_W35_X110S50D18,70,110,0.35,110,50,-0.18,0.3081312848841391,-0.5804007047324975,0.5308940571086223,1503.82469839569,874,-0.1288600229843192,-0.3470688740554637,-0.17384552583289048,-0.5643134086518344,0.7715778855468713,-0.14723087963306436,-0.3307855391112451,-0.565165635109705,275.56979617166996,-0.5804007047324975,0.4116101346435581,-0.5804007047324975,0.7438704028021016,0.7344329178264025,17,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.10754789036875,0.6938717590271224,2023-01-27,2023-02-28,1.0,1.0,0,0.04602602319321081,0.2822207518829676,-0.5804007047324975,0.12742872585341627,0.2956017036687053,-0.5804007047324975
BH_A25_F80_M110_W35_X110S40D22,80,110,0.35,110,40,-0.22,0.30782339964182404,-0.6022332649272366,0.5111364940610115,1494.2141339771522,788,-0.22223753493752263,-0.3825580141011322,-0.2580167692766966,-0.5643134086518344,1.1938242172670082,-0.14723087963306447,-0.38783299420606454,-0.6022332649272366,341.7113672401161,-0.6022332649272366,0.4302912434342263,-0.6022332649272366,0.7498540572095739,0.7415383620920071,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.8750562966302144,0.671174852359075,2023-02-03,2023-02-28,1.0,1.0000000000000002,0,0.027209592051051015,0.28387405957174927,-0.6022332649272366,0.11938778166716434,0.28919983555877593,-0.6022332649272366
BH_A25_F60_M110_W35_X120S50D18,60,110,0.35,120,50,-0.18,0.3012699435476336,-0.5804007047324976,0.5190723255349711,1303.1379783842208,862,-0.24937230251885723,-0.3853533215655164,-0.23326478914188387,-0.5643134086518344,0.90329332124815,-0.14723087963306447,-0.3250179208296944,-0.5614180193916329,298.69337899608,-0.5804007047324976,0.41857696911411857,-0.5804007047324976,0.7467892586106246,0.7356791705387337,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,8.347612493403876,0.7173079779534628,2023-01-25,2023-02-28,1.0,1.0,0,0.03461027939848514,0.27911552083185676,-0.5804007047324976,0.10728121652343345,0.2934057720797809,-0.5804007047324976
BH_A25_F80_M110_W35_X100S40D22,80,110,0.35,100,40,-0.22,0.3075324123743344,-0.6022332649272368,0.5106533137313348,1485.185436580805,788,-0.22693711700116959,-0.3862888694877312,-0.2580167692766965,-0.5643134086518344,1.193824217267006,-0.14723087963306436,-0.38783299420606476,-0.6022332649272368,341.71136724011615,-0.6022332649272368,0.4302912434342263,-0.6022332649272368,0.75,0.7415805190180573,15,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.875056296630212,0.6711748523590748,2023-02-03,2023-02-28,1.0,1.0,0,0.02720959205105093,0.28387405957174905,-0.6022332649272368,0.11803008985686754,0.28919983555877593,-0.6022332649272368
