strategy,fast_ma,full_ma,starter_w,exit_ma,exit_slope_lb,exit_dd,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,InvestedDayPct,AvgWeight,TradeCount,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
BH_A25_F60_M100_W35_X100S30D18,60,100,0.35,100,30,-0.18,0.21363624805321768,-0.6775186261662075,0.3153215864515714,195.11660157577163,1217,-0.5861072470505426,-0.6775186261662075,-0.22953107444427956,-0.5370751009365846,0.9032933212481498,-0.14723087963306436,-0.2797787033581086,-0.532023008454084,79.98563897292958,-0.5567780366106212,0.3092136592748631,-0.5567780366106212,0.7113251605370695,0.7010852256338491,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9153809836434799,0.08936373318868009,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X100S30D20,60,100,0.35,100,30,-0.2,0.1975279528784155,-0.683515558501719,0.2889882321207159,135.59476988363542,1258,-0.6240829123742386,-0.683515558501719,-0.2752893983327641,-0.5645312519475086,0.9032933212481491,-0.14723087963306447,-0.36722551027960915,-0.5888431744422722,64.87839291528576,-0.5888431744422722,0.29274504585977223,-0.5888431744422722,0.713806187974314,0.7033721376312525,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9153809836434819,0.08936373318868028,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X100S30D22,60,100,0.35,100,30,-0.22,0.21186350027347656,-0.6775186261662075,0.31270505649759456,187.50093756268552,1217,-0.6147517014104596,-0.6775186261662075,-0.2602849637746022,-0.5643134086518344,0.9032933212481491,-0.14723087963306436,-0.44469127589430846,-0.6391779758556682,86.08733632031839,-0.6391779758556682,0.3150575944632552,-0.6391779758556682,0.7193520140105079,0.7088133520304559,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.4420584009060584,0.14078042310659877,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X100S40D18,60,100,0.35,100,40,-0.18,0.22625466833585772,-0.5917722791383595,0.3823340097398482,258.60989600055643,1088,-0.4760550254143032,-0.5917722791383595,-0.260284963774602,-0.5643134086518347,0.9032933212481495,-0.14723087963306425,-0.2797787033581095,-0.5320230084540845,87.31851404142817,-0.5804007047324975,0.3161899927423275,-0.5804007047324975,0.7059252772913018,0.6956853423880814,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.088809873502956,0.10629466502749074,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X100S40D20,60,100,0.35,100,40,-0.2,0.27136564899971427,-0.599363768812269,0.4527561776673068,691.8046542220172,1133,-0.5241282493620747,-0.599363768812269,-0.26028496377460053,-0.5643134086518344,0.9032933212481498,-0.14723087963306447,-0.36722551027960815,-0.5888431744422715,259.1272490289401,-0.5888431744422715,0.40631522560362243,-0.5888431744422715,0.7494162288382954,0.7389821784952338,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742638,0.6646117732737843,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X100S40D22,60,100,0.35,100,40,-0.22,0.2742019856336797,-0.6391779758556682,0.4289916048290075,735.0946775042721,1088,-0.5123159113676762,-0.5917722791383595,-0.2602849637746003,-0.5643134086518344,0.9032933212481502,-0.14723087963306447,-0.4446912758943088,-0.6391779758556682,268.70996014664985,-0.6391779758556682,0.4094380058382574,-0.6391779758556682,0.7545242265032107,0.7439855645231588,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742633,0.6646117732737838,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X100S50D18,60,100,0.35,100,50,-0.18,0.22107433783234876,-0.6022204485716107,0.3670986901170636,230.4456815203009,1088,-0.4760550254143032,-0.5917722791383595,-0.22452120181224555,-0.5643134086518347,0.9032933212481487,-0.14723087963306436,-0.3878132697058563,-0.6022204485716107,74.07056870930418,-0.6022204485716107,0.3031397008677721,-0.6022204485716107,0.7075306479859895,0.6972907130827691,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.0888098735029557,0.1062946650274907,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X100S50D20,60,100,0.35,100,50,-0.2,0.27653645457020937,-0.599363768812269,0.46138333506245904,772.6715680446584,1133,-0.5241282493620747,-0.599363768812269,-0.17381767604722487,-0.5643134086518344,0.9032933212481493,-0.14723087963306436,-0.36722551027960937,-0.5888431744422722,259.12724902893945,-0.5888431744422722,0.4063152256036222,-0.5888431744422722,0.75,0.7395659496569384,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742636,0.6646117732737841,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X100S50D22,60,100,0.35,100,50,-0.22,0.2730021929021855,-0.6391779758556685,0.42711451773149267,716.4733542304747,1088,-0.5123159113676762,-0.5917722791383595,-0.2790233293777995,-0.5730360211176697,0.9032933212481491,-0.14723087963306425,-0.4446912758943091,-0.6391779758556685,268.7099601466493,-0.6391779758556685,0.4094380058382574,-0.6391779758556685,0.7570052539404554,0.7464665919604034,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742633,0.6646117732737838,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W35_X110S30D18,60,100,0.35,110,30,-0.18,0.2237619983047292,-0.5857607633843239,0.38200236733493287,244.66721133557624,1129,-0.5079707341325044,-0.5857607633843239,-0.1872938180651138,-0.5236193833854152,0.90329332124815,-0.14723087963306436,-0.27977870335810806,-0.5320230084540836,79.98563897292965,-0.5567780366106212,0.30921365927486333,-0.5567780366106212,0.7040280210157618,0.6933872821141338,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.9153809836434788,0.08936373318867998,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X110S30D20,60,100,0.35,110,30,-0.2,0.20942132293901827,-0.5888431744422717,0.3556487228324819,177.47688859447632,1129,-0.5079707341325044,-0.5857607633843239,-0.275289398332764,-0.5645312519475085,0.9032933212481491,-0.14723087963306447,-0.3672255102796085,-0.5888431744422717,64.87839291528581,-0.5888431744422717,0.29274504585977246,-0.5888431744422717,0.7068009340338587,0.6961601951322307,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,1.915380983643481,0.0893637331886802,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X110S30D22,60,100,0.35,110,30,-0.22,0.22279794319537194,-0.6391779758556686,0.3485694933357364,239.47139804692213,1129,-0.5079707341325044,-0.5857607633843239,-0.2602849637746023,-0.5643134086518344,0.9032933212481493,-0.14723087963306447,-0.44469127589430957,-0.6391779758556686,86.08733632031839,-0.6391779758556686,0.3150575944632552,-0.6391779758556686,0.7122008172796264,0.7015600783779983,23,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.4420584009060606,0.140780423106599,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X110S40D18,60,100,0.35,110,40,-0.18,0.2259341887372741,-0.5804007047324975,0.38927276775345326,256.7753395309573,1077,-0.47977184622319524,-0.5620201312486148,-0.260284963774602,-0.5643134086518344,0.9032933212481493,-0.14723087963306447,-0.2797787033581086,-0.5320230084540838,87.31851404142826,-0.5804007047324975,0.3161899927423275,-0.5804007047324975,0.7040280210157618,0.6948670880550974,21,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.0888098735029574,0.10629466502749088,2023-01-25,2023-02-16,0.0,1.0,1
BH_A25_F60_M100_W35_X110S40D20,60,100,0.35,110,40,-0.2,0.2755323988827503,-0.5888431744422717,0.4679215296054392,756.2883435666513,1077,-0.47977184622319524,-0.5620201312486148,-0.260284963774602,-0.5643134086518344,0.9032933212481484,-0.14723087963306447,-0.3672255102796086,-0.5888431744422717,259.12724902893945,-0.5888431744422717,0.4063152256036222,-0.5888431744422717,0.7472270869819031,0.7380661540212388,20,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742636,0.6646117732737841,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X110S40D22,60,100,0.35,110,40,-0.22,0.2772277075120586,-0.6391779758556685,0.43372537537910855,784.1489108280393,1077,-0.47977184622319524,-0.5620201312486148,-0.260284963774602,-0.5643134086518344,0.90329332124815,-0.14723087963306447,-0.44469127589430923,-0.6391779758556685,268.70996014664945,-0.6391779758556685,0.4094380058382574,-0.6391779758556685,0.7521891418563923,0.743028208895728,20,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742634,0.664611773273784,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X110S50D18,60,100,0.35,110,50,-0.18,0.27942107650342307,-0.6022204485716112,0.46398470388405716,821.6644542136704,1129,-0.5157088613747929,-0.5922754895277558,-0.17381767604722564,-0.5643134086518344,0.9032933212481502,-0.14723087963306447,-0.38781326970585717,-0.6022204485716112,270.8121198179582,-0.6022204485716112,0.4101091020170544,-0.6022204485716112,0.7494162288382954,0.7386721516037713,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742636,0.6646117732737841,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X110S50D20,60,100,0.35,110,50,-0.2,0.27735868835171185,-0.5922754895277558,0.46829337572767143,786.342103665629,1129,-0.5157088613747929,-0.5922754895277558,-0.17381767604722564,-0.5643134086518344,0.9032933212481498,-0.14723087963306436,-0.3672255102796089,-0.588843174442272,259.12724902893973,-0.588843174442272,0.4063152256036222,-0.588843174442272,0.7502918855808524,0.7395478083463283,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742636,0.6646117732737841,2023-01-25,2023-02-16,1.0,1.0,0
BH_A25_F60_M100_W35_X110S50D22,60,100,0.35,110,50,-0.22,0.2726759259801166,-0.6391779758556683,0.42660407004024975,711.4886554695366,1129,-0.5157088613747929,-0.5922754895277558,-0.27902332937779906,-0.5730360211176696,0.9032933212481491,-0.14723087963306447,-0.4446912758943089,-0.6391779758556683,268.70996014664945,-0.6391779758556683,0.4094380058382574,-0.6391779758556683,0.7571511967308815,0.7464071194963574,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,7.807828601742638,0.6646117732737843,2023-01-25,2023-02-16,1.0,1.0000000000000002,0
BH_A25_F60_M100_W35_X120S30D18,60,100,0.35,120,30,-0.18,0.238754164732486,-0.5804007047324975,0.4113609145986928,340.8850251286904,1043,-0.39230540150899607,-0.4883821674091744,-0.18482432458199938,-0.5236193833854154,0.9032933212481493,-0.14723087963306447,-0.25725064960582955,-0.517384992514355,90.08105972137896,-0.5804007047324975,0.31867790360046344,-0.5804007047324975,0.7016929363689434,0.6931114257124869,22,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.088809873502956,0.10629466502749074,2023-01-25,2023-02-16,0.0,1.0000000000000002,1
