strategy,exit_ma,exit_slope_lb,exit_dd,resume_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V8_X80S20D10_R60,80,20,-0.1,60,0.1746875168082045,-0.716012534815734,0.24397270761909268,80.25167246710838,1357,-0.5041771857457622,-0.5382182135232985,-0.32313613154612364,-0.5906878312560917,-0.20360488969675206,-0.716012534815734,-0.09193607209143018,-0.41786163736418136,51.65874957885044,-0.716012534815734,0.27511337292024085,-0.716012534815734,67,0.7238762405137186,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.045523018295186,0.1996934353067458,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
V8_X80S20D10_R80,80,20,-0.1,80,0.17118031950006052,-0.7160125348157336,0.23907447310837082,73.97497881912896,1357,-0.44446180490893883,-0.48269317432993064,-0.3461098928702503,-0.6045804919668241,-0.2036048896967514,-0.7160125348157336,-0.04953662310617801,-0.41786163736418147,51.74184225321191,-0.7160125348157336,0.27523664742678244,-0.7160125348157336,60,0.7018388791593695,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.774104628581953,0.17319631444206188,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S20D10_R100,80,20,-0.1,100,0.17628895157935953,-0.7137296708013129,0.24699680956438003,83.28543792441278,1270,-0.5404634709011107,-0.5718213976205597,-0.33261209361748134,-0.5964181217430438,-0.1232561991196478,-0.7137296708013129,-0.04953662310617846,-0.41786163736418136,49.642030519623965,-0.7137296708013129,0.2720640060718189,-0.7137296708013129,66,0.698482194979568,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.2701671554145113,0.22162423689717015,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V8_X80S20D12_R60,80,20,-0.12,60,0.16895979637478886,-0.7160125348157338,0.23597323811973592,70.24842747923326,2271,-0.5041771857457622,-0.5382182135232985,-0.3231361315461241,-0.5906878312560919,-0.20360488969675183,-0.7160125348157338,-0.18214025008192902,-0.46858063340015343,65.3882856618338,-0.7160125348157338,0.29335631120987116,-0.7160125348157338,55,0.7444541739638062,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.951555703684401,0.581018445286782,2023-01-25,2023-02-28,1.0,1.0,0
V8_X80S20D12_R80,80,20,-0.12,80,0.1574490948008056,-0.741463497154401,0.21234908448637857,53.6515310395732,3398,-0.44446180490893883,-0.48269317432993064,-0.3461098928702506,-0.6045804919668241,-0.20360488969675183,-0.7160125348157338,-0.14395262729681446,-0.4437675253893332,63.167969947106045,-0.7160125348157338,0.2906616262720165,-0.7160125348157338,49,0.7253356684179801,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.289877235388525,0.5164223272178524,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S20D12_R100,80,20,-0.12,100,0.15900746446123626,-0.713729670801313,0.22278387877964587,55.654134362804164,2276,-0.5404634709011107,-0.5718213976205597,-0.3326120936174829,-0.596418121743044,-0.12325619911964791,-0.713729670801313,-0.14395262729681435,-0.4437675253893332,57.552459363254926,-0.713729670801313,0.2834347081128359,-0.713729670801313,55,0.725189725627554,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,6.504631007934572,0.5373875855900342,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V8_X80S20D15_R60,80,20,-0.15,60,0.16896891858660612,-0.7160125348157338,0.2359859784159929,70.26336010270053,2165,-0.5041771857457622,-0.5382182135232985,-0.3231361315461233,-0.5906878312560917,-0.20360488969675183,-0.7160125348157338,-0.2518410519137113,-0.5138700072379755,55.034208786219715,-0.7160125348157338,0.2799800338453238,-0.7160125348157338,49,0.7629889083479277,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.593690304524433,0.35083269947122564,2023-01-25,2023-02-28,1.0,1.0,0
V8_X80S20D15_R80,80,20,-0.15,80,0.15935166628056296,-0.7160125348157338,0.22255429693220694,56.1060649362711,2275,-0.44446180490893883,-0.48269317432993064,-0.3461098928702512,-0.6045804919668243,-0.20360488969675172,-0.7160125348157338,-0.21690790879756028,-0.4911715570575058,55.62594625727845,-0.7160125348157338,0.28080472148968383,-0.7160125348157338,43,0.7429947460595446,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.156443435753413,0.3081466340879211,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S20D15_R100,80,20,-0.15,100,0.17893474824984423,-0.713729670801313,0.25070381065838554,88.54117821678213,2165,-0.5404634709011107,-0.5718213976205597,-0.332612093617483,-0.5964181217430438,-0.12325619911964802,-0.713729670801313,-0.21690790879755917,-0.4911715570575049,74.27420876285329,-0.713729670801313,0.3033561649615806,-0.713729670801313,46,0.7488324576765908,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.298355888858257,0.32200078533425247,2023-02-03,2023-02-28,1.0,1.0,0
V8_X80S20D18_R60,80,20,-0.18,60,0.2333343034005546,-0.7286880718567743,0.32021150395119563,302.5106185309434,1108,-0.5041771857457622,-0.5382182135232985,-0.3409957153605927,-0.6014617606626693,-0.20360488969675228,-0.716012534815734,-0.24145313481595243,-0.5071202676586214,132.34906228564284,-0.7286880718567743,0.3498634925654054,-0.7286880718567743,34,0.7983070636310566,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,4.610817473942202,0.3525047331112897,2023-01-25,2023-02-28,1.0,1.0000000000000002,0
