strategy,soft_ma,soft_slope,soft_dd,soft_w,hard_ma,hard_slope,hard_dd,recover_ma,CAGR,MDD,Calmar,Final,MaxUnderwaterDays,DotCom_Return,DotCom_MDD,GFC_Return,GFC_MDD,COVID_Return,COVID_MDD,2022_Bear_Return,2022_Bear_MDD,Actual_TQQQ_Era_Return,Actual_TQQQ_Era_MDD,ActualEra_CAGR,ActualEra_MDD,TradeCount,InvestedDayPct,Cycle22_TroughDate,Cycle22_TroughPx,Cycle22_PeakDate,Cycle22_PeakPx,Cycle22_TheoreticalMult,Cycle22_PortfolioMult,Cycle22_Capture,Cycle22_First25Date,Cycle22_First75Date,Cycle22_WeightAtPeak,Cycle22_MaxWeight,Cycle22_ExitCountBeforePeak
V9_SM80S20D10W25_HM110S20D22_R80,80,20,-0.1,0.25,110,20,-0.22,80,0.1875241773141878,-0.6992207245312605,0.2681902448470748,107.89820474956412,1345,-0.30385415040817665,-0.3827895548458443,-0.3710659378034853,-0.6349985321316713,-0.1556477974180902,-0.6992207245312605,-0.13411071588114964,-0.43737256301202065,52.50855677543716,-0.6992207245312605,0.2763656041985936,-0.6992207245312605,50,0.7597781669585523,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.19129293804931,0.11629953666031198,2023-02-03,2023-02-28,0.0,1.0,0
V9_SM80S20D10W25_HM110S20D25_R80,80,20,-0.1,0.25,110,20,-0.25,80,0.21477892919471953,-0.6992207245312605,0.30716899779923107,200.1825259477304,1345,-0.3160987044652033,-0.3879750150283977,-0.47033368286331856,-0.6804434422403336,-0.014402634735650621,-0.6992207245312605,-0.1608626159592944,-0.4547551005391386,118.9899177528488,-0.6992207245312605,0.3411548890533129,-0.6992207245312605,46,0.8251605370694688,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.773428480385435,0.2707549393833377,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM110S20D30_R80,80,20,-0.1,0.25,110,20,-0.3,80,0.20525761062226477,-0.6992207245312605,0.2935519549422168,161.56539533175803,1345,-0.407746549679343,-0.4699909016133206,-0.48586053073021107,-0.6933480835011301,-0.014402634735650066,-0.6992207245312605,-0.19432017216955078,-0.47649476107508526,114.20575547593002,-0.6992207245312605,0.33781326555565716,-0.6992207245312605,46,0.8312901342673672,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.773428480385435,0.2707549393833377,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM110S40D22_R80,80,20,-0.1,0.25,110,40,-0.22,80,0.21219732568325878,-0.6992207245312605,0.3034768825330662,188.91280455067508,1345,-0.30385415040817665,-0.3827895548458443,-0.4344474517803335,-0.6577237769273158,-0.014402634735650621,-0.6992207245312605,-0.1341107158811493,-0.43737256301202043,103.18436923810604,-0.6992207245312605,0.3295903476040385,-0.6992207245312605,50,0.8073555166374781,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854328,0.2707549393833375,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V9_SM80S20D10W25_HM110S40D25_R80,80,20,-0.1,0.25,110,40,-0.25,80,0.2117760568669238,-0.7003392553819991,0.30239067029222977,187.13279143104992,1345,-0.3160987044652033,-0.3879750150283977,-0.5048621952214178,-0.7003392553819991,-0.014402634735650288,-0.6992207245312605,-0.16086261595929463,-0.4547551005391386,118.98991775284898,-0.6992207245312605,0.34115488905331315,-0.6992207245312605,46,0.826328079392878,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.773428480385435,0.2707549393833377,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM110S40D30_R80,80,20,-0.1,0.25,110,40,-0.3,80,0.20359232903890967,-0.7003392553819991,0.2907052938619876,155.59423065956568,1345,-0.407746549679343,-0.4699909016133206,-0.5048621952214178,-0.7003392553819991,-0.014402634735650732,-0.6992207245312605,-0.19432017216955233,-0.47649476107508626,114.20575547592968,-0.6992207245312605,0.33781326555565694,-0.6992207245312605,46,0.8317279626386457,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854328,0.2707549393833375,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
V9_SM80S20D10W25_HM120S20D22_R80,80,20,-0.1,0.25,120,20,-0.22,80,0.18564177336624876,-0.6992207245312605,0.2654980993172052,103.33537077171395,1345,-0.3166444454916505,-0.3941295689057607,-0.3863886151774253,-0.6349985321316709,-0.15564779741809076,-0.6992207245312605,-0.1341107158811511,-0.43737256301202154,52.508556775437064,-0.6992207245312605,0.2763656041985936,-0.6992207245312605,52,0.7599241097489784,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,2.1912929380493096,0.11629953666031194,2023-02-03,2023-02-28,0.0,1.0000000000000002,0
V9_SM80S20D10W25_HM120S20D25_R80,80,20,-0.1,0.25,120,20,-0.25,80,0.21458286191382525,-0.6992207245312605,0.3068885895189621,199.30437485930315,1345,-0.3286640302270236,-0.3992197565733422,-0.46278697704640714,-0.6804434422403336,-0.01440263473565051,-0.6992207245312605,-0.16086261595929463,-0.4547551005391385,118.98991775284857,-0.6992207245312605,0.3411548890533129,-0.6992207245312605,48,0.8250145942790427,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854323,0.2707549393833375,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM120S20D30_R80,80,20,-0.1,0.25,120,20,-0.3,80,0.20443729980961023,-0.6992207245312605,0.2923787763108133,158.5969526084645,1345,-0.41862802860828907,-0.4797287644035194,-0.48586053073021207,-0.69334808350113,-0.0144026347356504,-0.6992207245312605,-0.19432017216955255,-0.4764947610750865,114.20575547592954,-0.6992207245312605,0.33781326555565694,-0.6992207245312605,48,0.8308523058960887,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.773428480385429,0.27075493938333717,2023-02-03,2023-02-28,1.0,1.0000000000000002,0
V9_SM80S20D10W25_HM120S40D22_R80,80,20,-0.1,0.25,120,40,-0.22,80,0.20946282113778114,-0.6992207245312605,0.2995660937798999,177.64282565769733,1345,-0.3166444454916505,-0.3941295689057607,-0.45823274776102896,-0.6721073488298542,-0.014402634735650288,-0.6992207245312605,-0.13411071588114998,-0.43737256301202077,103.18436923810596,-0.6992207245312605,0.3295903476040385,-0.6992207245312605,52,0.8072095738470519,2022-12-28,7.757497787475586,2026-06-02,87.22000122070312,11.243316287053162,3.7734284803854328,0.2707549393833375,2023-02-03,2023-02-28,1.0000000000000002,1.0000000000000002,0
