ticker,age,n,uncensored_n,censored_n,median_wait_td,p90_wait_td,max_wait_td
QQQ,150,12,11,1,220.0,439.0,556
QQQ,200,12,11,1,170.0,389.0,506
QQQ,250,10,9,1,160.0,362.40000000000003,456
QQQ,300,7,6,1,183.5,347.5,406
QQQ,325,6,5,1,183.0,334.2,381
QQQ,350,4,4,0,198.5,320.90000000000003,356
QQQ,400,4,4,0,148.5,270.90000000000003,306
SPY,150,12,11,1,382.0,803.0,809
SPY,200,12,11,1,332.0,753.0,759
SPY,250,10,9,1,417.0,704.2,709
SPY,300,9,8,1,446.5,654.8,659
SPY,325,7,7,0,501.0,630.4,634
SPY,350,7,7,0,476.0,605.4,609
SPY,400,7,7,0,426.0,555.4,559
