ticker,episode,age,obs_date,wait_td,censored
SPY,2,150,1995-07-26,803,False
SPY,2,200,1995-10-05,753,False
SPY,2,250,1995-12-15,703,False
SPY,2,300,1996-02-28,653,False
SPY,2,325,1996-04-03,628,False
SPY,2,350,1996-05-09,603,False
SPY,2,400,1996-07-22,553,False
SPY,4,150,1999-05-27,699,False
SPY,4,200,1999-08-09,649,False
SPY,4,250,1999-10-19,599,False
SPY,4,300,1999-12-30,549,False
SPY,4,325,2000-02-04,524,False
SPY,4,350,2000-03-13,499,False
SPY,4,400,2000-05-23,449,False
SPY,6,150,2003-12-04,180,False
SPY,6,200,2004-02-18,130,False
SPY,6,250,2004-04-29,80,False
SPY,6,300,2004-07-13,30,False
SPY,7,150,2005-03-30,676,False
SPY,7,200,2005-06-09,626,False
SPY,7,250,2005-08-19,576,False
SPY,7,300,2005-10-31,526,False
SPY,7,325,2005-12-06,501,False
SPY,7,350,2006-01-12,476,False
SPY,7,400,2006-03-27,426,False
SPY,9,150,2010-02-26,105,False
SPY,9,200,2010-05-10,55,False
SPY,11,150,2011-04-18,181,False
SPY,11,200,2011-06-29,131,False
SPY,12,150,2012-08-09,809,False
SPY,12,200,2012-10-19,759,False
SPY,12,250,2013-01-04,709,False
SPY,12,300,2013-03-19,659,False
SPY,12,325,2013-04-24,634,False
SPY,12,350,2013-05-30,609,False
SPY,12,400,2013-08-09,559,False
SPY,14,150,2016-10-19,517,False
SPY,14,200,2016-12-30,467,False
SPY,14,250,2017-03-15,417,False
SPY,14,300,2017-05-25,367,False
SPY,14,325,2017-06-30,342,False
SPY,14,350,2017-08-07,317,False
SPY,14,400,2017-10-17,267,False
SPY,16,150,2019-09-19,174,False
SPY,16,200,2019-11-29,124,False
SPY,16,250,2020-02-12,74,False
SPY,17,150,2020-12-31,308,False
SPY,17,200,2021-03-16,258,False
SPY,17,250,2021-05-26,208,False
SPY,17,300,2021-08-06,158,False
SPY,17,325,2021-09-13,133,False
SPY,17,350,2021-10-18,108,False
SPY,17,400,2021-12-29,58,False
SPY,20,150,2023-11-02,382,False
SPY,20,200,2024-01-17,332,False
SPY,20,250,2024-03-28,282,False
SPY,20,300,2024-06-10,232,False
SPY,20,325,2024-07-17,207,False
SPY,20,350,2024-08-21,182,False
SPY,20,400,2024-10-31,132,False
SPY,21,150,2025-12-17,175,True
SPY,21,200,2026-03-03,125,True
SPY,21,250,2026-05-13,75,True
SPY,21,300,2026-07-27,25,True
QQQ,1,150,2003-11-18,220,False
QQQ,1,200,2004-02-02,170,False
QQQ,1,250,2004-04-14,120,False
QQQ,1,300,2004-06-25,70,False
QQQ,5,150,2005-12-20,185,False
QQQ,5,200,2006-03-06,135,False
QQQ,5,250,2006-05-16,85,False
QQQ,6,150,2007-04-24,260,False
QQQ,6,200,2007-07-05,210,False
QQQ,6,250,2007-09-14,160,False
QQQ,6,300,2007-11-26,110,False
QQQ,6,325,2008-01-02,85,False
QQQ,8,150,2010-01-06,127,False
QQQ,8,200,2010-03-19,77,False
QQQ,8,250,2010-06-01,27,False
QQQ,10,150,2011-04-11,110,False
QQQ,10,200,2011-06-22,60,False
QQQ,14,150,2012-08-09,71,False
QQQ,14,200,2012-10-19,21,False
QQQ,15,150,2013-06-28,556,False
QQQ,15,200,2013-09-10,506,False
QQQ,15,250,2013-11-19,456,False
QQQ,15,300,2014-02-03,406,False
QQQ,15,325,2014-03-11,381,False
QQQ,15,350,2014-04-15,356,False
QQQ,15,400,2014-06-26,306,False
QQQ,20,150,2017-02-07,439,False
QQQ,20,200,2017-04-20,389,False
QQQ,20,250,2017-06-30,339,False
QQQ,20,300,2017-09-12,289,False
QQQ,20,325,2017-10-17,264,False
QQQ,20,350,2017-11-21,239,False
QQQ,20,400,2018-02-05,189,False
QQQ,23,150,2019-09-19,139,False
QQQ,23,200,2019-11-29,89,False
QQQ,23,250,2020-02-12,39,False
QQQ,24,150,2020-11-10,309,False
QQQ,24,200,2021-01-25,259,False
QQQ,24,250,2021-04-07,209,False
QQQ,24,300,2021-06-17,159,False
QQQ,24,325,2021-07-23,134,False
QQQ,24,350,2021-08-27,109,False
QQQ,24,400,2021-11-08,59,False
QQQ,28,150,2023-10-19,358,False
QQQ,28,200,2024-01-02,308,False
QQQ,28,250,2024-03-14,258,False
QQQ,28,300,2024-05-24,208,False
QQQ,28,325,2024-07-02,183,False
QQQ,28,350,2024-08-07,158,False
QQQ,28,400,2024-10-17,108,False
QQQ,30,150,2025-12-15,177,True
QQQ,30,200,2026-02-27,127,True
QQQ,30,250,2026-05-11,77,True
QQQ,30,300,2026-07-23,27,True
QQQ,30,325,2026-08-27,2,True
